sep=;
Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint dot|Precision 3

;SN: 2100532006;SN: 2100532006
;SB 4000TL-20;SB 4000TL-20
;2100532006;2100532006
;Total yield;Power
;Counter;Analog
dd/MM/yyyy HH:mm:ss;kWh;kW
30/03/2012 00:00:00;602.088;0.000
30/03/2012 00:05:00;602.088;0.000
30/03/2012 00:10:00;602.088;0.000
30/03/2012 00:15:00;602.088;0.000
30/03/2012 00:20:00;602.088;0.000
30/03/2012 00:25:00;602.088;0.000
30/03/2012 00:30:00;602.088;0.000
30/03/2012 00:35:00;602.088;0.000
30/03/2012 00:40:00;602.088;0.000
30/03/2012 00:45:00;602.088;0.000
30/03/2012 00:50:00;602.088;0.000
30/03/2012 00:55:00;602.088;0.000
30/03/2012 01:00:00;602.088;0.000
30/03/2012 01:05:00;602.088;0.000
30/03/2012 01:10:00;602.088;0.000
30/03/2012 01:15:00;602.088;0.000
30/03/2012 01:20:00;602.088;0.000
30/03/2012 01:25:00;602.088;0.000
30/03/2012 01:30:00;602.088;0.000
30/03/2012 01:35:00;602.088;0.000
30/03/2012 01:40:00;602.088;0.000
30/03/2012 01:45:00;602.088;0.000
30/03/2012 01:50:00;602.088;0.000
30/03/2012 01:55:00;602.088;0.000
30/03/2012 02:00:00;602.088;0.000
30/03/2012 02:05:00;602.088;0.000
30/03/2012 02:10:00;602.088;0.000
30/03/2012 02:15:00;602.088;0.000
30/03/2012 02:20:00;602.088;0.000
30/03/2012 02:25:00;602.088;0.000
30/03/2012 02:30:00;602.088;0.000
30/03/2012 02:35:00;602.088;0.000
30/03/2012 02:40:00;602.088;0.000
30/03/2012 02:45:00;602.088;0.000
30/03/2012 02:50:00;602.088;0.000
30/03/2012 02:55:00;602.088;0.000
30/03/2012 03:00:00;602.088;0.000
30/03/2012 03:05:00;602.088;0.000
30/03/2012 03:10:00;602.088;0.000
30/03/2012 03:15:00;602.088;0.000
30/03/2012 03:20:00;602.088;0.000
30/03/2012 03:25:00;602.088;0.000
30/03/2012 03:30:00;602.088;0.000
30/03/2012 03:35:00;602.088;0.000
30/03/2012 03:40:00;602.088;0.000
30/03/2012 03:45:00;602.088;0.000
30/03/2012 03:50:00;602.088;0.000
30/03/2012 03:55:00;602.088;0.000
30/03/2012 04:00:00;602.088;0.000
30/03/2012 04:05:00;602.088;0.000
30/03/2012 04:10:00;602.088;0.000
30/03/2012 04:15:00;602.088;0.000
30/03/2012 04:20:00;602.088;0.000
30/03/2012 04:25:00;602.088;0.000
30/03/2012 04:30:00;602.088;0.000
30/03/2012 04:35:00;602.088;0.000
30/03/2012 04:40:00;602.088;0.000
30/03/2012 04:45:00;602.088;0.000
30/03/2012 04:50:00;602.088;0.000
30/03/2012 04:55:00;602.088;0.000
30/03/2012 05:00:00;602.088;0.000
30/03/2012 05:05:00;602.088;0.000
30/03/2012 05:10:00;602.088;0.000
30/03/2012 05:15:00;602.088;0.000
30/03/2012 05:20:00;602.088;0.000
30/03/2012 05:25:00;602.088;0.000
30/03/2012 05:30:00;602.088;0.000
30/03/2012 05:35:00;602.088;0.000
30/03/2012 05:40:00;602.088;0.000
30/03/2012 05:45:00;602.088;0.000
30/03/2012 05:50:00;602.088;0.000
30/03/2012 05:55:00;602.088;0.000
30/03/2012 06:00:00;602.088;0.000
30/03/2012 06:05:00;602.088;0.000
30/03/2012 06:10:00;602.088;0.000
30/03/2012 06:15:00;602.088;0.000
30/03/2012 06:20:00;602.088;0.000
30/03/2012 06:25:00;602.088;0.000
30/03/2012 06:30:00;602.088;0.000
30/03/2012 06:35:00;602.088;0.000
30/03/2012 06:40:00;602.088;0.000
30/03/2012 06:45:00;602.088;0.000
30/03/2012 06:50:00;602.089;0.012
30/03/2012 06:55:00;602.092;0.036
30/03/2012 07:00:00;602.098;0.072
30/03/2012 07:05:00;602.107;0.108
30/03/2012 07:10:00;602.121;0.168
30/03/2012 07:15:00;602.141;0.240
30/03/2012 07:20:00;602.166;0.300
30/03/2012 07:25:00;602.197;0.372
30/03/2012 07:30:00;602.234;0.444
30/03/2012 07:35:00;602.276;0.504
30/03/2012 07:40:00;602.325;0.588
30/03/2012 07:45:00;602.380;0.660
30/03/2012 07:50:00;602.443;0.756
30/03/2012 07:55:00;602.510;0.804
30/03/2012 08:00:00;602.580;0.840
30/03/2012 08:05:00;602.660;0.960
30/03/2012 08:10:00;602.750;1.080
30/03/2012 08:15:00;602.844;1.128
30/03/2012 08:20:00;602.949;1.260
30/03/2012 08:25:00;603.060;1.332
30/03/2012 08:30:00;603.177;1.404
30/03/2012 08:35:00;603.302;1.500
30/03/2012 08:40:00;603.431;1.548
30/03/2012 08:45:00;603.563;1.584
30/03/2012 08:50:00;603.701;1.656
30/03/2012 08:55:00;603.843;1.704
30/03/2012 09:00:00;603.983;1.680
30/03/2012 09:05:00;604.133;1.800
30/03/2012 09:10:00;604.289;1.872
30/03/2012 09:15:00;604.448;1.908
30/03/2012 09:20:00;604.611;1.956
30/03/2012 09:25:00;604.779;2.016
30/03/2012 09:30:00;604.951;2.064
30/03/2012 09:35:00;605.126;2.100
30/03/2012 09:40:00;605.305;2.148
30/03/2012 09:45:00;605.486;2.172
30/03/2012 09:50:00;605.666;2.160
30/03/2012 09:55:00;605.852;2.232
30/03/2012 10:00:00;606.044;2.304
30/03/2012 10:05:00;606.241;2.364
30/03/2012 10:10:00;606.436;2.340
30/03/2012 10:15:00;606.636;2.400
30/03/2012 10:20:00;606.837;2.412
30/03/2012 10:25:00;607.034;2.364
30/03/2012 10:30:00;607.146;1.344
30/03/2012 10:35:00;607.340;2.328
30/03/2012 10:40:00;607.554;2.568
30/03/2012 10:45:00;607.767;2.556
30/03/2012 10:50:00;607.982;2.580
30/03/2012 10:55:00;608.192;2.520
30/03/2012 11:00:00;608.389;2.364
30/03/2012 11:05:00;608.552;1.956
30/03/2012 11:10:00;608.707;1.860
30/03/2012 11:15:00;608.908;2.412
30/03/2012 11:20:00;609.144;2.832
30/03/2012 11:25:00;609.379;2.820
30/03/2012 11:30:00;609.608;2.748
30/03/2012 11:35:00;609.836;2.736
30/03/2012 11:40:00;609.986;1.800
30/03/2012 11:45:00;610.165;2.148
30/03/2012 11:50:00;610.285;1.440
30/03/2012 11:55:00;610.426;1.692
30/03/2012 12:00:00;610.582;1.872
30/03/2012 12:05:00;610.745;1.956
30/03/2012 12:10:00;610.828;0.996
30/03/2012 12:15:00;610.904;0.912
30/03/2012 12:20:00;610.980;0.912
30/03/2012 12:25:00;611.064;1.008
30/03/2012 12:30:00;611.134;0.840
30/03/2012 12:35:00;611.201;0.804
30/03/2012 12:40:00;611.261;0.720
30/03/2012 12:45:00;611.325;0.768
30/03/2012 12:50:00;611.381;0.672
30/03/2012 12:55:00;611.438;0.684
30/03/2012 13:00:00;611.502;0.768
30/03/2012 13:05:00;611.563;0.732
30/03/2012 13:10:00;611.618;0.660
30/03/2012 13:15:00;611.681;0.756
30/03/2012 13:20:00;611.747;0.792
30/03/2012 13:25:00;611.817;0.840
30/03/2012 13:30:00;611.886;0.828
30/03/2012 13:35:00;611.953;0.804
30/03/2012 13:40:00;612.011;0.696
30/03/2012 13:45:00;612.063;0.624
30/03/2012 13:50:00;612.112;0.588
30/03/2012 13:55:00;612.162;0.600
30/03/2012 14:00:00;612.215;0.636
30/03/2012 14:05:00;612.268;0.636
30/03/2012 14:10:00;612.322;0.648
30/03/2012 14:15:00;612.374;0.624
30/03/2012 14:20:00;612.425;0.612
30/03/2012 14:25:00;612.480;0.660
30/03/2012 14:30:00;612.540;0.720
30/03/2012 14:35:00;612.598;0.696
30/03/2012 14:40:00;612.655;0.684
30/03/2012 14:45:00;612.714;0.708
30/03/2012 14:50:00;612.771;0.684
30/03/2012 14:55:00;612.836;0.780
30/03/2012 15:00:00;612.902;0.792
30/03/2012 15:05:00;612.958;0.672
30/03/2012 15:10:00;613.007;0.588
30/03/2012 15:15:00;613.055;0.576
30/03/2012 15:20:00;613.101;0.552
30/03/2012 15:25:00;613.145;0.528
30/03/2012 15:30:00;613.184;0.468
30/03/2012 15:35:00;613.225;0.492
30/03/2012 15:40:00;613.265;0.480
30/03/2012 15:45:00;613.310;0.540
30/03/2012 15:50:00;613.356;0.552
30/03/2012 15:55:00;613.396;0.480
30/03/2012 16:00:00;613.445;0.588
30/03/2012 16:05:00;613.497;0.624
30/03/2012 16:10:00;613.549;0.624
30/03/2012 16:15:00;613.600;0.612
30/03/2012 16:20:00;613.649;0.588
30/03/2012 16:25:00;613.700;0.612
30/03/2012 16:30:00;613.746;0.552
30/03/2012 16:35:00;613.790;0.528
30/03/2012 16:40:00;613.830;0.480
30/03/2012 16:45:00;613.865;0.420
30/03/2012 16:50:00;613.900;0.420
30/03/2012 16:55:00;613.937;0.444
30/03/2012 17:00:00;613.976;0.468
30/03/2012 17:05:00;614.014;0.456
30/03/2012 17:10:00;614.047;0.396
30/03/2012 17:15:00;614.078;0.372
30/03/2012 17:20:00;614.116;0.456
30/03/2012 17:25:00;614.148;0.384
30/03/2012 17:30:00;614.171;0.276
30/03/2012 17:35:00;614.192;0.252
30/03/2012 17:40:00;614.208;0.192
30/03/2012 17:45:00;614.221;0.156
30/03/2012 17:50:00;614.233;0.144
30/03/2012 17:55:00;614.244;0.132
30/03/2012 18:00:00;614.255;0.132
30/03/2012 18:05:00;614.268;0.156
30/03/2012 18:10:00;614.280;0.144
30/03/2012 18:15:00;614.293;0.156
30/03/2012 18:20:00;614.305;0.144
30/03/2012 18:25:00;614.314;0.108
30/03/2012 18:30:00;614.324;0.120
30/03/2012 18:35:00;614.335;0.132
30/03/2012 18:40:00;614.344;0.108
30/03/2012 18:45:00;614.352;0.096
30/03/2012 18:50:00;614.359;0.084
30/03/2012 18:55:00;614.365;0.072
30/03/2012 19:00:00;614.369;0.048
30/03/2012 19:05:00;614.372;0.036
30/03/2012 19:10:00;614.374;0.024
30/03/2012 19:15:00;614.374;0.000
30/03/2012 19:20:00;614.374;0.000
30/03/2012 19:25:00;614.374;0.000
30/03/2012 19:30:00;614.374;0.000
30/03/2012 19:35:00;614.374;0.000
30/03/2012 19:40:00;614.374;0.000
30/03/2012 19:45:00;614.374;0.000
30/03/2012 19:50:00;614.374;0.000
30/03/2012 19:55:00;614.374;0.000
30/03/2012 20:00:00;614.374;0.000
30/03/2012 20:05:00;614.374;0.000
30/03/2012 20:10:00;614.374;0.000
30/03/2012 20:15:00;614.374;0.000
30/03/2012 20:20:00;614.374;0.000
30/03/2012 20:25:00;614.374;0.000
30/03/2012 20:30:00;614.374;0.000
30/03/2012 20:35:00;614.374;0.000
30/03/2012 20:40:00;614.374;0.000
30/03/2012 20:45:00;614.374;0.000
30/03/2012 20:50:00;614.374;0.000
30/03/2012 20:55:00;614.374;0.000
