sep=;
Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint dot|Precision 3

;SN: 2100532006;SN: 2100532006
;SB 4000TL-20;SB 4000TL-20
;2100532006;2100532006
;Total yield;Power
;Counter;Analog
dd/MM/yyyy HH:mm:ss;kWh;kW
03/05/2012 00:00:00;995.390;0.000
03/05/2012 00:05:00;995.390;0.000
03/05/2012 00:10:00;995.390;0.000
03/05/2012 00:15:00;995.390;0.000
03/05/2012 00:20:00;995.390;0.000
03/05/2012 00:25:00;995.390;0.000
03/05/2012 00:30:00;995.390;0.000
03/05/2012 00:35:00;995.390;0.000
03/05/2012 00:40:00;995.390;0.000
03/05/2012 00:45:00;995.390;0.000
03/05/2012 00:50:00;995.390;0.000
03/05/2012 00:55:00;995.390;0.000
03/05/2012 01:00:00;995.390;0.000
03/05/2012 01:05:00;995.390;0.000
03/05/2012 01:10:00;995.390;0.000
03/05/2012 01:15:00;995.390;0.000
03/05/2012 01:20:00;995.390;0.000
03/05/2012 01:25:00;995.390;0.000
03/05/2012 01:30:00;995.390;0.000
03/05/2012 01:35:00;995.390;0.000
03/05/2012 01:40:00;995.390;0.000
03/05/2012 01:45:00;995.390;0.000
03/05/2012 01:50:00;995.390;0.000
03/05/2012 01:55:00;995.390;0.000
03/05/2012 02:00:00;995.390;0.000
03/05/2012 02:05:00;995.390;0.000
03/05/2012 02:10:00;995.390;0.000
03/05/2012 02:15:00;995.390;0.000
03/05/2012 02:20:00;995.390;0.000
03/05/2012 02:25:00;995.390;0.000
03/05/2012 02:30:00;995.390;0.000
03/05/2012 02:35:00;995.390;0.000
03/05/2012 02:40:00;995.390;0.000
03/05/2012 02:45:00;995.390;0.000
03/05/2012 02:50:00;995.390;0.000
03/05/2012 02:55:00;995.390;0.000
03/05/2012 03:00:00;995.390;0.000
03/05/2012 03:05:00;995.390;0.000
03/05/2012 03:10:00;995.390;0.000
03/05/2012 03:15:00;995.390;0.000
03/05/2012 03:20:00;995.390;0.000
03/05/2012 03:25:00;995.390;0.000
03/05/2012 03:30:00;995.390;0.000
03/05/2012 03:35:00;995.390;0.000
03/05/2012 03:40:00;995.390;0.000
03/05/2012 03:45:00;995.390;0.000
03/05/2012 03:50:00;995.390;0.000
03/05/2012 03:55:00;995.390;0.000
03/05/2012 04:00:00;995.390;0.000
03/05/2012 04:05:00;995.390;0.000
03/05/2012 04:10:00;995.390;0.000
03/05/2012 04:15:00;995.390;0.000
03/05/2012 04:20:00;995.390;0.000
03/05/2012 04:25:00;995.390;0.000
03/05/2012 04:30:00;995.390;0.000
03/05/2012 04:35:00;995.390;0.000
03/05/2012 04:40:00;995.390;0.000
03/05/2012 04:45:00;995.390;0.000
03/05/2012 04:50:00;995.390;0.000
03/05/2012 04:55:00;995.390;0.000
03/05/2012 05:00:00;995.390;0.000
03/05/2012 05:05:00;995.390;0.000
03/05/2012 05:10:00;995.390;0.000
03/05/2012 05:15:00;995.390;0.000
03/05/2012 05:20:00;995.390;0.000
03/05/2012 05:25:00;995.390;0.000
03/05/2012 05:30:00;995.390;0.000
03/05/2012 05:35:00;995.390;0.000
03/05/2012 05:40:00;995.390;0.000
03/05/2012 05:45:00;995.390;0.000
03/05/2012 05:50:00;995.390;0.000
03/05/2012 05:55:00;995.390;0.000
03/05/2012 06:00:00;995.390;0.000
03/05/2012 06:05:00;995.390;0.000
03/05/2012 06:10:00;995.390;0.000
03/05/2012 06:15:00;995.390;0.000
03/05/2012 06:20:00;995.390;0.000
03/05/2012 06:25:00;995.390;0.000
03/05/2012 06:30:00;995.391;0.012
03/05/2012 06:35:00;995.393;0.024
03/05/2012 06:40:00;995.394;0.012
03/05/2012 06:45:00;995.396;0.024
03/05/2012 06:50:00;995.398;0.024
03/05/2012 06:55:00;995.400;0.024
03/05/2012 07:00:00;995.402;0.024
03/05/2012 07:05:00;995.406;0.048
03/05/2012 07:10:00;995.409;0.036
03/05/2012 07:15:00;995.413;0.048
03/05/2012 07:20:00;995.419;0.072
03/05/2012 07:25:00;995.427;0.096
03/05/2012 07:30:00;995.437;0.120
03/05/2012 07:35:00;995.451;0.168
03/05/2012 07:40:00;995.469;0.216
03/05/2012 07:45:00;995.485;0.192
03/05/2012 07:50:00;995.500;0.180
03/05/2012 07:55:00;995.516;0.192
03/05/2012 08:00:00;995.530;0.168
03/05/2012 08:05:00;995.546;0.192
03/05/2012 08:10:00;995.563;0.204
03/05/2012 08:15:00;995.583;0.240
03/05/2012 08:20:00;995.614;0.372
03/05/2012 08:25:00;995.645;0.372
03/05/2012 08:30:00;995.672;0.324
03/05/2012 08:35:00;995.697;0.300
03/05/2012 08:40:00;995.712;0.180
03/05/2012 08:45:00;995.727;0.180
03/05/2012 08:50:00;995.741;0.168
03/05/2012 08:55:00;995.752;0.132
03/05/2012 09:00:00;995.761;0.108
03/05/2012 09:05:00;995.771;0.120
03/05/2012 09:10:00;995.780;0.108
03/05/2012 09:15:00;995.793;0.156
03/05/2012 09:20:00;995.810;0.204
03/05/2012 09:25:00;995.826;0.192
03/05/2012 09:30:00;995.844;0.216
03/05/2012 09:35:00;995.860;0.192
03/05/2012 09:40:00;995.877;0.204
03/05/2012 09:45:00;995.897;0.240
03/05/2012 09:50:00;995.920;0.276
03/05/2012 09:55:00;995.938;0.216
03/05/2012 10:00:00;995.952;0.168
03/05/2012 10:05:00;995.964;0.144
03/05/2012 10:10:00;995.978;0.168
03/05/2012 10:15:00;995.996;0.216
03/05/2012 10:20:00;996.018;0.264
03/05/2012 10:25:00;996.047;0.348
03/05/2012 10:30:00;996.080;0.396
03/05/2012 10:35:00;996.106;0.312
03/05/2012 10:40:00;996.135;0.348
03/05/2012 10:45:00;996.164;0.348
03/05/2012 10:50:00;996.192;0.336
03/05/2012 10:55:00;996.216;0.288
03/05/2012 11:00:00;996.237;0.252
03/05/2012 11:05:00;996.258;0.252
03/05/2012 11:10:00;996.278;0.240
03/05/2012 11:15:00;996.298;0.240
03/05/2012 11:20:00;996.319;0.252
03/05/2012 11:25:00;996.356;0.444
03/05/2012 11:30:00;996.406;0.600
03/05/2012 11:35:00;996.451;0.540
03/05/2012 11:40:00;996.493;0.504
03/05/2012 11:45:00;996.534;0.492
03/05/2012 11:50:00;996.589;0.660
03/05/2012 11:55:00;996.664;0.900
03/05/2012 12:00:00;996.728;0.768
03/05/2012 12:05:00;996.773;0.540
03/05/2012 12:10:00;996.814;0.492
03/05/2012 12:15:00;996.853;0.468
03/05/2012 12:20:00;996.890;0.444
03/05/2012 12:25:00;996.914;0.288
03/05/2012 12:30:00;996.937;0.276
03/05/2012 12:35:00;996.968;0.372
03/05/2012 12:40:00;997.013;0.540
03/05/2012 12:45:00;997.038;0.300
03/05/2012 12:50:00;997.056;0.216
03/05/2012 12:55:00;997.079;0.276
03/05/2012 13:00:00;997.102;0.276
03/05/2012 13:05:00;997.142;0.480
03/05/2012 13:10:00;997.183;0.492
03/05/2012 13:15:00;997.215;0.384
03/05/2012 13:20:00;997.237;0.264
03/05/2012 13:25:00;997.257;0.240
03/05/2012 13:30:00;997.278;0.252
03/05/2012 13:35:00;997.301;0.276
03/05/2012 13:40:00;997.335;0.408
03/05/2012 13:45:00;997.381;0.552
03/05/2012 13:50:00;997.415;0.408
03/05/2012 13:55:00;997.450;0.420
03/05/2012 14:00:00;997.489;0.468
03/05/2012 14:05:00;997.523;0.408
03/05/2012 14:10:00;997.557;0.408
03/05/2012 14:15:00;997.591;0.408
03/05/2012 14:20:00;997.621;0.360
03/05/2012 14:25:00;997.647;0.312
03/05/2012 14:30:00;997.676;0.348
03/05/2012 14:35:00;997.700;0.288
03/05/2012 14:40:00;997.719;0.228
03/05/2012 14:45:00;997.734;0.180
03/05/2012 14:50:00;997.750;0.192
03/05/2012 14:55:00;997.774;0.288
03/05/2012 15:00:00;997.802;0.336
03/05/2012 15:05:00;997.827;0.300
03/05/2012 15:10:00;997.850;0.276
03/05/2012 15:15:00;997.874;0.288
03/05/2012 15:20:00;997.898;0.288
03/05/2012 15:25:00;997.924;0.312
03/05/2012 15:30:00;997.952;0.336
03/05/2012 15:35:00;997.982;0.360
03/05/2012 15:40:00;998.017;0.420
03/05/2012 15:45:00;998.054;0.444
03/05/2012 15:50:00;998.095;0.492
03/05/2012 15:55:00;998.137;0.504
03/05/2012 16:00:00;998.182;0.540
03/05/2012 16:05:00;998.222;0.480
03/05/2012 16:10:00;998.257;0.420
03/05/2012 16:15:00;998.285;0.336
03/05/2012 16:20:00;998.310;0.300
03/05/2012 16:25:00;998.333;0.276
03/05/2012 16:30:00;998.359;0.312
03/05/2012 16:35:00;998.392;0.396
03/05/2012 16:40:00;998.417;0.300
03/05/2012 16:45:00;998.443;0.312
03/05/2012 16:50:00;998.466;0.276
03/05/2012 16:55:00;998.504;0.456
03/05/2012 17:00:00;998.536;0.384
03/05/2012 17:05:00;998.562;0.312
03/05/2012 17:10:00;998.590;0.336
03/05/2012 17:15:00;998.612;0.264
03/05/2012 17:20:00;998.632;0.240
03/05/2012 17:25:00;998.653;0.252
03/05/2012 17:30:00;998.672;0.228
03/05/2012 17:35:00;998.686;0.168
03/05/2012 17:40:00;998.700;0.168
03/05/2012 17:45:00;998.716;0.192
03/05/2012 17:50:00;998.737;0.252
03/05/2012 17:55:00;998.760;0.276
03/05/2012 18:00:00;998.787;0.324
03/05/2012 18:05:00;998.809;0.264
03/05/2012 18:10:00;998.826;0.204
03/05/2012 18:15:00;998.839;0.156
03/05/2012 18:20:00;998.853;0.168
03/05/2012 18:25:00;998.869;0.192
03/05/2012 18:30:00;998.883;0.168
03/05/2012 18:35:00;998.900;0.204
03/05/2012 18:40:00;998.912;0.144
03/05/2012 18:45:00;998.920;0.096
03/05/2012 18:50:00;998.923;0.036
03/05/2012 18:55:00;998.925;0.024
03/05/2012 19:00:00;998.926;0.012
03/05/2012 19:05:00;998.927;0.012
03/05/2012 19:10:00;998.928;0.012
03/05/2012 19:15:00;998.928;0.000
03/05/2012 19:20:00;998.928;0.000
03/05/2012 19:25:00;998.928;0.000
03/05/2012 19:30:00;998.928;0.000
03/05/2012 19:35:00;998.928;0.000
03/05/2012 19:40:00;998.928;0.000
03/05/2012 19:45:00;998.928;0.000
03/05/2012 19:50:00;998.928;0.000
03/05/2012 19:55:00;998.928;0.000
03/05/2012 20:00:00;998.928;0.000
03/05/2012 20:05:00;998.928;0.000
03/05/2012 20:10:00;998.928;0.000
03/05/2012 20:15:00;998.928;0.000
03/05/2012 20:20:00;998.928;0.000
03/05/2012 20:25:00;998.928;0.000
03/05/2012 20:30:00;998.928;0.000
03/05/2012 20:35:00;998.928;0.000
03/05/2012 20:40:00;998.928;0.000
03/05/2012 20:45:00;998.928;0.000
03/05/2012 20:50:00;998.928;0.000
03/05/2012 20:55:00;998.928;0.000
