sep=;
Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint dot|Precision 3

;SN: 2100532006;SN: 2100532006
;SB 4000TL-20;SB 4000TL-20
;2100532006;2100532006
;Total yield;Power
;Counter;Analog
dd/MM/yyyy HH:mm:ss;kWh;kW
06/05/2012 00:00:00;1019.863;0.000
06/05/2012 00:05:00;1019.863;0.000
06/05/2012 00:10:00;1019.863;0.000
06/05/2012 00:15:00;1019.863;0.000
06/05/2012 00:20:00;1019.863;0.000
06/05/2012 00:25:00;1019.863;0.000
06/05/2012 00:30:00;1019.863;0.000
06/05/2012 00:35:00;1019.863;0.000
06/05/2012 00:40:00;1019.863;0.000
06/05/2012 00:45:00;1019.863;0.000
06/05/2012 00:50:00;1019.863;0.000
06/05/2012 00:55:00;1019.863;0.000
06/05/2012 01:00:00;1019.863;0.000
06/05/2012 01:05:00;1019.863;0.000
06/05/2012 01:10:00;1019.863;0.000
06/05/2012 01:15:00;1019.863;0.000
06/05/2012 01:20:00;1019.863;0.000
06/05/2012 01:25:00;1019.863;0.000
06/05/2012 01:30:00;1019.863;0.000
06/05/2012 01:35:00;1019.863;0.000
06/05/2012 01:40:00;1019.863;0.000
06/05/2012 01:45:00;1019.863;0.000
06/05/2012 01:50:00;1019.863;0.000
06/05/2012 01:55:00;1019.863;0.000
06/05/2012 02:00:00;1019.863;0.000
06/05/2012 02:05:00;1019.863;0.000
06/05/2012 02:10:00;1019.863;0.000
06/05/2012 02:15:00;1019.863;0.000
06/05/2012 02:20:00;1019.863;0.000
06/05/2012 02:25:00;1019.863;0.000
06/05/2012 02:30:00;1019.863;0.000
06/05/2012 02:35:00;1019.863;0.000
06/05/2012 02:40:00;1019.863;0.000
06/05/2012 02:45:00;1019.863;0.000
06/05/2012 02:50:00;1019.863;0.000
06/05/2012 02:55:00;1019.863;0.000
06/05/2012 03:00:00;1019.863;0.000
06/05/2012 03:05:00;1019.863;0.000
06/05/2012 03:10:00;1019.863;0.000
06/05/2012 03:15:00;1019.863;0.000
06/05/2012 03:20:00;1019.863;0.000
06/05/2012 03:25:00;1019.863;0.000
06/05/2012 03:30:00;1019.863;0.000
06/05/2012 03:35:00;1019.863;0.000
06/05/2012 03:40:00;1019.863;0.000
06/05/2012 03:45:00;1019.863;0.000
06/05/2012 03:50:00;1019.863;0.000
06/05/2012 03:55:00;1019.863;0.000
06/05/2012 04:00:00;1019.863;0.000
06/05/2012 04:05:00;1019.863;0.000
06/05/2012 04:10:00;1019.863;0.000
06/05/2012 04:15:00;1019.863;0.000
06/05/2012 04:20:00;1019.863;0.000
06/05/2012 04:25:00;1019.863;0.000
06/05/2012 04:30:00;1019.863;0.000
06/05/2012 04:35:00;1019.863;0.000
06/05/2012 04:40:00;1019.863;0.000
06/05/2012 04:45:00;1019.863;0.000
06/05/2012 04:50:00;1019.863;0.000
06/05/2012 04:55:00;1019.863;0.000
06/05/2012 05:00:00;1019.863;0.000
06/05/2012 05:05:00;1019.863;0.000
06/05/2012 05:10:00;1019.863;0.000
06/05/2012 05:15:00;1019.863;0.000
06/05/2012 05:20:00;1019.863;0.000
06/05/2012 05:25:00;1019.863;0.000
06/05/2012 05:30:00;1019.863;0.000
06/05/2012 05:35:00;1019.863;0.000
06/05/2012 05:40:00;1019.863;0.000
06/05/2012 05:45:00;1019.863;0.000
06/05/2012 05:50:00;1019.863;0.000
06/05/2012 05:55:00;1019.863;0.000
06/05/2012 06:00:00;1019.863;0.000
06/05/2012 06:05:00;1019.865;0.024
06/05/2012 06:10:00;1019.867;0.024
06/05/2012 06:15:00;1019.868;0.012
06/05/2012 06:20:00;1019.871;0.036
06/05/2012 06:25:00;1019.875;0.048
06/05/2012 06:30:00;1019.881;0.072
06/05/2012 06:35:00;1019.888;0.084
06/05/2012 06:40:00;1019.897;0.108
06/05/2012 06:45:00;1019.907;0.120
06/05/2012 06:50:00;1019.918;0.132
06/05/2012 06:55:00;1019.931;0.156
06/05/2012 07:00:00;1019.946;0.180
06/05/2012 07:05:00;1019.964;0.216
06/05/2012 07:10:00;1019.986;0.264
06/05/2012 07:15:00;1020.009;0.276
06/05/2012 07:20:00;1020.036;0.324
06/05/2012 07:25:00;1020.068;0.384
06/05/2012 07:30:00;1020.107;0.468
06/05/2012 07:35:00;1020.147;0.480
06/05/2012 07:40:00;1020.198;0.612
06/05/2012 07:45:00;1020.254;0.672
06/05/2012 07:50:00;1020.312;0.696
06/05/2012 07:55:00;1020.374;0.744
06/05/2012 08:00:00;1020.438;0.768
06/05/2012 08:05:00;1020.513;0.900
06/05/2012 08:10:00;1020.596;0.996
06/05/2012 08:15:00;1020.682;1.032
06/05/2012 08:20:00;1020.753;0.852
06/05/2012 08:25:00;1020.819;0.792
06/05/2012 08:30:00;1020.875;0.672
06/05/2012 08:35:00;1020.929;0.648
06/05/2012 08:40:00;1020.981;0.624
06/05/2012 08:45:00;1021.036;0.660
06/05/2012 08:50:00;1021.092;0.672
06/05/2012 08:55:00;1021.150;0.696
06/05/2012 09:00:00;1021.215;0.780
06/05/2012 09:05:00;1021.289;0.888
06/05/2012 09:10:00;1021.378;1.068
06/05/2012 09:15:00;1021.469;1.092
06/05/2012 09:20:00;1021.549;0.960
06/05/2012 09:25:00;1021.616;0.804
06/05/2012 09:30:00;1021.674;0.696
06/05/2012 09:35:00;1021.727;0.636
06/05/2012 09:40:00;1021.785;0.696
06/05/2012 09:45:00;1021.844;0.708
06/05/2012 09:50:00;1021.905;0.732
06/05/2012 09:55:00;1021.979;0.888
06/05/2012 10:00:00;1022.075;1.152
06/05/2012 10:05:00;1022.178;1.236
06/05/2012 10:10:00;1022.280;1.224
06/05/2012 10:15:00;1022.393;1.356
06/05/2012 10:20:00;1022.516;1.476
06/05/2012 10:25:00;1022.635;1.428
06/05/2012 10:30:00;1022.834;2.388
06/05/2012 10:35:00;1022.958;1.488
06/05/2012 10:40:00;1023.098;1.680
06/05/2012 10:45:00;1023.227;1.548
06/05/2012 10:50:00;1023.318;1.092
06/05/2012 10:55:00;1023.463;1.740
06/05/2012 11:00:00;1023.580;1.404
06/05/2012 11:05:00;1023.699;1.428
06/05/2012 11:10:00;1023.869;2.040
06/05/2012 11:15:00;1024.015;1.752
06/05/2012 11:20:00;1024.219;2.448
06/05/2012 11:25:00;1024.359;1.680
06/05/2012 11:30:00;1024.528;2.028
06/05/2012 11:35:00;1024.696;2.016
06/05/2012 11:40:00;1024.861;1.980
06/05/2012 11:45:00;1024.970;1.308
06/05/2012 11:50:00;1025.062;1.104
06/05/2012 11:55:00;1025.166;1.248
06/05/2012 12:00:00;1025.273;1.284
06/05/2012 12:05:00;1025.377;1.248
06/05/2012 12:10:00;1025.492;1.380
06/05/2012 12:15:00;1025.625;1.596
06/05/2012 12:20:00;1025.722;1.164
06/05/2012 12:25:00;1025.836;1.368
06/05/2012 12:30:00;1025.972;1.632
06/05/2012 12:35:00;1026.106;1.608
06/05/2012 12:40:00;1026.259;1.836
06/05/2012 12:45:00;1026.373;1.368
06/05/2012 12:50:00;1026.445;0.864
06/05/2012 12:55:00;1026.501;0.672
06/05/2012 13:00:00;1026.562;0.732
06/05/2012 13:05:00;1026.615;0.636
06/05/2012 13:10:00;1026.656;0.492
06/05/2012 13:15:00;1026.699;0.516
06/05/2012 13:20:00;1026.734;0.420
06/05/2012 13:25:00;1026.760;0.312
06/05/2012 13:30:00;1026.783;0.276
06/05/2012 13:35:00;1026.807;0.288
06/05/2012 13:40:00;1026.839;0.384
06/05/2012 13:45:00;1026.887;0.576
06/05/2012 13:50:00;1026.946;0.708
06/05/2012 13:55:00;1027.000;0.648
06/05/2012 14:00:00;1027.048;0.576
06/05/2012 14:05:00;1027.107;0.708
06/05/2012 14:10:00;1027.177;0.840
06/05/2012 14:15:00;1027.231;0.648
06/05/2012 14:20:00;1027.306;0.900
06/05/2012 14:25:00;1027.377;0.852
06/05/2012 14:30:00;1027.441;0.768
06/05/2012 14:35:00;1027.509;0.816
06/05/2012 14:40:00;1027.563;0.648
06/05/2012 14:45:00;1027.608;0.540
06/05/2012 14:50:00;1027.650;0.504
06/05/2012 14:55:00;1027.690;0.480
06/05/2012 15:00:00;1027.732;0.504
06/05/2012 15:05:00;1027.770;0.456
06/05/2012 15:10:00;1027.807;0.444
06/05/2012 15:15:00;1027.848;0.492
06/05/2012 15:20:00;1027.892;0.528
06/05/2012 15:25:00;1027.938;0.552
06/05/2012 15:30:00;1027.991;0.636
06/05/2012 15:35:00;1028.053;0.744
06/05/2012 15:40:00;1028.111;0.696
06/05/2012 15:45:00;1028.174;0.756
06/05/2012 15:50:00;1028.246;0.864
06/05/2012 15:55:00;1028.314;0.816
06/05/2012 16:00:00;1028.378;0.768
06/05/2012 16:05:00;1028.440;0.744
06/05/2012 16:10:00;1028.497;0.684
06/05/2012 16:15:00;1028.548;0.612
06/05/2012 16:20:00;1028.606;0.696
06/05/2012 16:25:00;1028.667;0.732
06/05/2012 16:30:00;1028.720;0.636
06/05/2012 16:35:00;1028.771;0.612
06/05/2012 16:40:00;1028.815;0.528
06/05/2012 16:45:00;1028.857;0.504
06/05/2012 16:50:00;1028.896;0.468
06/05/2012 16:55:00;1028.932;0.432
06/05/2012 17:00:00;1028.964;0.384
06/05/2012 17:05:00;1029.000;0.432
06/05/2012 17:10:00;1029.035;0.420
06/05/2012 17:15:00;1029.069;0.408
06/05/2012 17:20:00;1029.108;0.468
06/05/2012 17:25:00;1029.148;0.480
06/05/2012 17:30:00;1029.184;0.432
06/05/2012 17:35:00;1029.219;0.420
06/05/2012 17:40:00;1029.252;0.396
06/05/2012 17:45:00;1029.288;0.432
06/05/2012 17:50:00;1029.326;0.456
06/05/2012 17:55:00;1029.364;0.456
06/05/2012 18:00:00;1029.398;0.408
06/05/2012 18:05:00;1029.425;0.324
06/05/2012 18:10:00;1029.452;0.324
06/05/2012 18:15:00;1029.479;0.324
06/05/2012 18:20:00;1029.504;0.300
06/05/2012 18:25:00;1029.529;0.300
06/05/2012 18:30:00;1029.554;0.300
06/05/2012 18:35:00;1029.578;0.288
06/05/2012 18:40:00;1029.598;0.240
06/05/2012 18:45:00;1029.614;0.192
06/05/2012 18:50:00;1029.627;0.156
06/05/2012 18:55:00;1029.640;0.156
06/05/2012 19:00:00;1029.654;0.168
06/05/2012 19:05:00;1029.667;0.156
06/05/2012 19:10:00;1029.679;0.144
06/05/2012 19:15:00;1029.689;0.120
06/05/2012 19:20:00;1029.699;0.120
06/05/2012 19:25:00;1029.710;0.132
06/05/2012 19:30:00;1029.723;0.156
06/05/2012 19:35:00;1029.736;0.156
06/05/2012 19:40:00;1029.748;0.144
06/05/2012 19:45:00;1029.758;0.120
06/05/2012 19:50:00;1029.765;0.084
06/05/2012 19:55:00;1029.772;0.084
