sep=;
Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint dot|Precision 3

;SN: 2100532006;SN: 2100532006
;SB 4000TL-20;SB 4000TL-20
;2100532006;2100532006
;Total yield;Power
;Counter;Analog
dd/MM/yyyy HH:mm:ss;kWh;kW
01/01/2012 00:00:00;98.524;0.000
01/01/2012 00:05:00;98.524;0.000
01/01/2012 00:10:00;98.524;0.000
01/01/2012 00:15:00;98.524;0.000
01/01/2012 00:20:00;98.524;0.000
01/01/2012 00:25:00;98.524;0.000
01/01/2012 00:30:00;98.524;0.000
01/01/2012 00:35:00;98.524;0.000
01/01/2012 00:40:00;98.524;0.000
01/01/2012 00:45:00;98.524;0.000
01/01/2012 00:50:00;98.524;0.000
01/01/2012 00:55:00;98.524;0.000
01/01/2012 01:00:00;98.524;0.000
01/01/2012 01:05:00;98.524;0.000
01/01/2012 01:10:00;98.524;0.000
01/01/2012 01:15:00;98.524;0.000
01/01/2012 01:20:00;98.524;0.000
01/01/2012 01:25:00;98.524;0.000
01/01/2012 01:30:00;98.524;0.000
01/01/2012 01:35:00;98.524;0.000
01/01/2012 01:40:00;98.524;0.000
01/01/2012 01:45:00;98.524;0.000
01/01/2012 01:50:00;98.524;0.000
01/01/2012 01:55:00;98.524;0.000
01/01/2012 02:00:00;98.524;0.000
01/01/2012 02:05:00;98.524;0.000
01/01/2012 02:10:00;98.524;0.000
01/01/2012 02:15:00;98.524;0.000
01/01/2012 02:20:00;98.524;0.000
01/01/2012 02:25:00;98.524;0.000
01/01/2012 02:30:00;98.524;0.000
01/01/2012 02:35:00;98.524;0.000
01/01/2012 02:40:00;98.524;0.000
01/01/2012 02:45:00;98.524;0.000
01/01/2012 02:50:00;98.524;0.000
01/01/2012 02:55:00;98.524;0.000
01/01/2012 03:00:00;98.524;0.000
01/01/2012 03:05:00;98.524;0.000
01/01/2012 03:10:00;98.524;0.000
01/01/2012 03:15:00;98.524;0.000
01/01/2012 03:20:00;98.524;0.000
01/01/2012 03:25:00;98.524;0.000
01/01/2012 03:30:00;98.524;0.000
01/01/2012 03:35:00;98.524;0.000
01/01/2012 03:40:00;98.524;0.000
01/01/2012 03:45:00;98.524;0.000
01/01/2012 03:50:00;98.524;0.000
01/01/2012 03:55:00;98.524;0.000
01/01/2012 04:00:00;98.524;0.000
01/01/2012 04:05:00;98.524;0.000
01/01/2012 04:10:00;98.524;0.000
01/01/2012 04:15:00;98.524;0.000
01/01/2012 04:20:00;98.524;0.000
01/01/2012 04:25:00;98.524;0.000
01/01/2012 04:30:00;98.524;0.000
01/01/2012 04:35:00;98.524;0.000
01/01/2012 04:40:00;98.524;0.000
01/01/2012 04:45:00;98.524;0.000
01/01/2012 04:50:00;98.524;0.000
01/01/2012 04:55:00;98.524;0.000
01/01/2012 05:00:00;98.524;0.000
01/01/2012 05:05:00;98.524;0.000
01/01/2012 05:10:00;98.524;0.000
01/01/2012 05:15:00;98.524;0.000
01/01/2012 05:20:00;98.524;0.000
01/01/2012 05:25:00;98.524;0.000
01/01/2012 05:30:00;98.524;0.000
01/01/2012 05:35:00;98.524;0.000
01/01/2012 05:40:00;98.524;0.000
01/01/2012 05:45:00;98.524;0.000
01/01/2012 05:50:00;98.524;0.000
01/01/2012 05:55:00;98.524;0.000
01/01/2012 06:00:00;98.524;0.000
01/01/2012 06:05:00;98.524;0.000
01/01/2012 06:10:00;98.524;0.000
01/01/2012 06:15:00;98.524;0.000
01/01/2012 06:20:00;98.524;0.000
01/01/2012 06:25:00;98.524;0.000
01/01/2012 06:30:00;98.524;0.000
01/01/2012 06:35:00;98.524;0.000
01/01/2012 06:40:00;98.524;0.000
01/01/2012 06:45:00;98.524;0.000
01/01/2012 06:50:00;98.524;0.000
01/01/2012 06:55:00;98.524;0.000
01/01/2012 07:00:00;98.524;0.000
01/01/2012 07:05:00;98.524;0.000
01/01/2012 07:10:00;98.524;0.000
01/01/2012 07:15:00;98.524;0.000
01/01/2012 07:20:00;98.524;0.000
01/01/2012 07:25:00;98.524;0.000
01/01/2012 07:30:00;98.524;0.000
01/01/2012 07:35:00;98.524;0.000
01/01/2012 07:40:00;98.524;0.000
01/01/2012 07:45:00;98.524;0.000
01/01/2012 07:50:00;98.524;0.000
01/01/2012 07:55:00;98.524;0.000
01/01/2012 08:00:00;98.524;0.000
01/01/2012 08:05:00;98.524;0.000
01/01/2012 08:10:00;98.524;0.000
01/01/2012 08:15:00;98.524;0.000
01/01/2012 08:20:00;98.524;0.000
01/01/2012 08:25:00;98.524;0.000
01/01/2012 08:30:00;98.524;0.000
01/01/2012 08:35:00;98.524;0.000
01/01/2012 08:40:00;98.524;0.000
01/01/2012 08:45:00;98.525;0.012
01/01/2012 08:50:00;98.528;0.036
01/01/2012 08:55:00;98.533;0.060
01/01/2012 09:00:00;98.539;0.072
01/01/2012 09:05:00;98.545;0.072
01/01/2012 09:10:00;98.552;0.084
01/01/2012 09:15:00;98.561;0.108
01/01/2012 09:20:00;98.572;0.132
01/01/2012 09:25:00;98.584;0.144
01/01/2012 09:30:00;98.595;0.132
01/01/2012 09:35:00;98.607;0.144
01/01/2012 09:40:00;98.619;0.144
01/01/2012 09:45:00;98.638;0.228
01/01/2012 09:50:00;98.670;0.384
01/01/2012 09:55:00;98.707;0.444
01/01/2012 10:00:00;98.742;0.420
01/01/2012 10:05:00;98.768;0.312
01/01/2012 10:10:00;98.792;0.288
01/01/2012 10:15:00;98.811;0.228
01/01/2012 10:20:00;98.824;0.156
01/01/2012 10:25:00;98.839;0.180
01/01/2012 10:30:00;98.852;0.156
01/01/2012 10:35:00;98.865;0.156
01/01/2012 10:40:00;98.880;0.180
01/01/2012 10:45:00;98.895;0.180
01/01/2012 10:50:00;98.914;0.228
01/01/2012 10:55:00;98.928;0.168
01/01/2012 11:00:00;98.945;0.204
01/01/2012 11:05:00;98.967;0.264
01/01/2012 11:10:00;98.990;0.276
01/01/2012 11:15:00;99.015;0.300
01/01/2012 11:20:00;99.040;0.300
01/01/2012 11:25:00;99.066;0.312
01/01/2012 11:30:00;99.096;0.360
01/01/2012 11:35:00;99.132;0.432
01/01/2012 11:40:00;99.172;0.480
01/01/2012 11:45:00;99.225;0.636
01/01/2012 11:50:00;99.287;0.744
01/01/2012 11:55:00;99.340;0.636
01/01/2012 12:00:00;99.385;0.540
01/01/2012 12:05:00;99.423;0.456
01/01/2012 12:10:00;99.457;0.408
01/01/2012 12:15:00;99.486;0.348
01/01/2012 12:20:00;99.508;0.264
01/01/2012 12:25:00;99.528;0.240
01/01/2012 12:30:00;99.547;0.228
01/01/2012 12:35:00;99.565;0.216
01/01/2012 12:40:00;99.581;0.192
01/01/2012 12:45:00;99.596;0.180
01/01/2012 12:50:00;99.612;0.192
01/01/2012 12:55:00;99.627;0.180
01/01/2012 13:00:00;99.640;0.156
01/01/2012 13:05:00;99.653;0.156
01/01/2012 13:10:00;99.665;0.144
01/01/2012 13:15:00;99.675;0.120
01/01/2012 13:20:00;99.685;0.120
01/01/2012 13:25:00;99.695;0.120
01/01/2012 13:30:00;99.704;0.108
01/01/2012 13:35:00;99.713;0.108
01/01/2012 13:40:00;99.723;0.120
01/01/2012 13:45:00;99.732;0.108
01/01/2012 13:50:00;99.741;0.108
01/01/2012 13:55:00;99.747;0.072
01/01/2012 14:00:00;99.753;0.072
01/01/2012 14:05:00;99.757;0.048
01/01/2012 14:10:00;99.762;0.060
01/01/2012 14:15:00;99.766;0.048
01/01/2012 14:20:00;99.771;0.060
01/01/2012 14:25:00;99.774;0.036
01/01/2012 14:30:00;99.777;0.036
01/01/2012 14:35:00;99.781;0.048
01/01/2012 14:40:00;99.783;0.024
01/01/2012 14:45:00;99.786;0.036
01/01/2012 14:50:00;99.788;0.024
01/01/2012 14:55:00;99.790;0.024
01/01/2012 15:00:00;99.792;0.024
01/01/2012 15:05:00;99.792;0.000
01/01/2012 15:10:00;99.793;0.012
01/01/2012 15:15:00;99.793;0.000
01/01/2012 15:20:00;99.793;0.000
01/01/2012 15:25:00;99.793;0.000
01/01/2012 15:30:00;99.793;0.000
01/01/2012 15:35:00;99.793;0.000
01/01/2012 15:40:00;99.793;0.000
01/01/2012 15:45:00;99.793;0.000
01/01/2012 15:50:00;99.793;0.000
01/01/2012 15:55:00;99.793;0.000
01/01/2012 16:00:00;99.793;0.000
01/01/2012 16:05:00;99.793;0.000
01/01/2012 16:10:00;99.793;0.000
01/01/2012 16:15:00;99.793;0.000
01/01/2012 16:20:00;99.793;0.000
01/01/2012 16:25:00;99.793;0.000
01/01/2012 16:30:00;99.793;0.000
01/01/2012 16:35:00;99.793;0.000
01/01/2012 16:40:00;99.793;0.000
01/01/2012 16:45:00;99.793;0.000
01/01/2012 16:50:00;99.793;0.000
01/01/2012 16:55:00;99.793;0.000
01/01/2012 17:00:00;99.793;0.000
01/01/2012 17:05:00;99.793;0.000
01/01/2012 17:10:00;99.793;0.000
01/01/2012 17:15:00;99.793;0.000
01/01/2012 17:20:00;99.793;0.000
01/01/2012 17:25:00;99.793;0.000
01/01/2012 17:30:00;99.793;0.000
01/01/2012 17:35:00;99.793;0.000
01/01/2012 17:40:00;99.793;0.000
01/01/2012 17:45:00;99.793;0.000
01/01/2012 17:50:00;99.793;0.000
01/01/2012 17:55:00;99.793;0.000
01/01/2012 18:00:00;99.793;0.000
01/01/2012 18:05:00;99.793;0.000
01/01/2012 18:10:00;99.793;0.000
01/01/2012 18:15:00;99.793;0.000
01/01/2012 18:20:00;99.793;0.000
01/01/2012 18:25:00;99.793;0.000
01/01/2012 18:30:00;99.793;0.000
01/01/2012 18:35:00;99.793;0.000
01/01/2012 18:40:00;99.793;0.000
01/01/2012 18:45:00;99.793;0.000
01/01/2012 18:50:00;99.793;0.000
01/01/2012 18:55:00;99.793;0.000
01/01/2012 19:00:00;99.793;0.000
01/01/2012 19:05:00;99.793;0.000
01/01/2012 19:10:00;99.793;0.000
01/01/2012 19:15:00;99.793;0.000
01/01/2012 19:20:00;99.793;0.000
01/01/2012 19:25:00;99.793;0.000
01/01/2012 19:30:00;99.793;0.000
01/01/2012 19:35:00;99.793;0.000
01/01/2012 19:40:00;99.793;0.000
01/01/2012 19:45:00;99.793;0.000
01/01/2012 19:50:00;99.793;0.000
01/01/2012 19:55:00;99.793;0.000
01/01/2012 20:00:00;99.793;0.000
01/01/2012 20:05:00;99.793;0.000
01/01/2012 20:10:00;99.793;0.000
01/01/2012 20:15:00;99.793;0.000
01/01/2012 20:20:00;99.793;0.000
01/01/2012 20:25:00;99.793;0.000
01/01/2012 20:30:00;99.793;0.000
01/01/2012 20:35:00;99.793;0.000
01/01/2012 20:40:00;99.793;0.000
01/01/2012 20:45:00;99.793;0.000
01/01/2012 20:50:00;99.793;0.000
01/01/2012 20:55:00;99.793;0.000
