sep=;
Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint dot|Precision 3

;SN: 2100532006;SN: 2100532006
;SB 4000TL-20;SB 4000TL-20
;2100532006;2100532006
;Total yield;Power
;Counter;Analog
dd/MM/yyyy HH:mm:ss;kWh;kW
22/12/2011 00:00:00;78.061;0.000
22/12/2011 00:05:00;78.061;0.000
22/12/2011 00:10:00;78.061;0.000
22/12/2011 00:15:00;78.061;0.000
22/12/2011 00:20:00;78.061;0.000
22/12/2011 00:25:00;78.061;0.000
22/12/2011 00:30:00;78.061;0.000
22/12/2011 00:35:00;78.061;0.000
22/12/2011 00:40:00;78.061;0.000
22/12/2011 00:45:00;78.061;0.000
22/12/2011 00:50:00;78.061;0.000
22/12/2011 00:55:00;78.061;0.000
22/12/2011 01:00:00;78.061;0.000
22/12/2011 01:05:00;78.061;0.000
22/12/2011 01:10:00;78.061;0.000
22/12/2011 01:15:00;78.061;0.000
22/12/2011 01:20:00;78.061;0.000
22/12/2011 01:25:00;78.061;0.000
22/12/2011 01:30:00;78.061;0.000
22/12/2011 01:35:00;78.061;0.000
22/12/2011 01:40:00;78.061;0.000
22/12/2011 01:45:00;78.061;0.000
22/12/2011 01:50:00;78.061;0.000
22/12/2011 01:55:00;78.061;0.000
22/12/2011 02:00:00;78.061;0.000
22/12/2011 02:05:00;78.061;0.000
22/12/2011 02:10:00;78.061;0.000
22/12/2011 02:15:00;78.061;0.000
22/12/2011 02:20:00;78.061;0.000
22/12/2011 02:25:00;78.061;0.000
22/12/2011 02:30:00;78.061;0.000
22/12/2011 02:35:00;78.061;0.000
22/12/2011 02:40:00;78.061;0.000
22/12/2011 02:45:00;78.061;0.000
22/12/2011 02:50:00;78.061;0.000
22/12/2011 02:55:00;78.061;0.000
22/12/2011 03:00:00;78.061;0.000
22/12/2011 03:05:00;78.061;0.000
22/12/2011 03:10:00;78.061;0.000
22/12/2011 03:15:00;78.061;0.000
22/12/2011 03:20:00;78.061;0.000
22/12/2011 03:25:00;78.061;0.000
22/12/2011 03:30:00;78.061;0.000
22/12/2011 03:35:00;78.061;0.000
22/12/2011 03:40:00;78.061;0.000
22/12/2011 03:45:00;78.061;0.000
22/12/2011 03:50:00;78.061;0.000
22/12/2011 03:55:00;78.061;0.000
22/12/2011 04:00:00;78.061;0.000
22/12/2011 04:05:00;78.061;0.000
22/12/2011 04:10:00;78.061;0.000
22/12/2011 04:15:00;78.061;0.000
22/12/2011 04:20:00;78.061;0.000
22/12/2011 04:25:00;78.061;0.000
22/12/2011 04:30:00;78.061;0.000
22/12/2011 04:35:00;78.061;0.000
22/12/2011 04:40:00;78.061;0.000
22/12/2011 04:45:00;78.061;0.000
22/12/2011 04:50:00;78.061;0.000
22/12/2011 04:55:00;78.061;0.000
22/12/2011 05:00:00;78.061;0.000
22/12/2011 05:05:00;78.061;0.000
22/12/2011 05:10:00;78.061;0.000
22/12/2011 05:15:00;78.061;0.000
22/12/2011 05:20:00;78.061;0.000
22/12/2011 05:25:00;78.061;0.000
22/12/2011 05:30:00;78.061;0.000
22/12/2011 05:35:00;78.061;0.000
22/12/2011 05:40:00;78.061;0.000
22/12/2011 05:45:00;78.061;0.000
22/12/2011 05:50:00;78.061;0.000
22/12/2011 05:55:00;78.061;0.000
22/12/2011 06:00:00;78.061;0.000
22/12/2011 06:05:00;78.061;0.000
22/12/2011 06:10:00;78.061;0.000
22/12/2011 06:15:00;78.061;0.000
22/12/2011 06:20:00;78.061;0.000
22/12/2011 06:25:00;78.061;0.000
22/12/2011 06:30:00;78.061;0.000
22/12/2011 06:35:00;78.061;0.000
22/12/2011 06:40:00;78.061;0.000
22/12/2011 06:45:00;78.061;0.000
22/12/2011 06:50:00;78.061;0.000
22/12/2011 06:55:00;78.061;0.000
22/12/2011 07:00:00;78.061;0.000
22/12/2011 07:05:00;78.061;0.000
22/12/2011 07:10:00;78.061;0.000
22/12/2011 07:15:00;78.061;0.000
22/12/2011 07:20:00;78.061;0.000
22/12/2011 07:25:00;78.061;0.000
22/12/2011 07:30:00;78.061;0.000
22/12/2011 07:35:00;78.061;0.000
22/12/2011 07:40:00;78.061;0.000
22/12/2011 07:45:00;78.061;0.000
22/12/2011 07:50:00;78.061;0.000
22/12/2011 07:55:00;78.061;0.000
22/12/2011 08:00:00;78.061;0.000
22/12/2011 08:05:00;78.061;0.000
22/12/2011 08:10:00;78.061;0.000
22/12/2011 08:15:00;78.061;0.000
22/12/2011 08:20:00;78.061;0.000
22/12/2011 08:25:00;78.064;0.036
22/12/2011 08:30:00;78.069;0.060
22/12/2011 08:35:00;78.076;0.084
22/12/2011 08:40:00;78.086;0.120
22/12/2011 08:45:00;78.096;0.120
22/12/2011 08:50:00;78.111;0.180
22/12/2011 08:55:00;78.129;0.216
22/12/2011 09:00:00;78.152;0.276
22/12/2011 09:05:00;78.181;0.348
22/12/2011 09:10:00;78.215;0.408
22/12/2011 09:15:00;78.251;0.432
22/12/2011 09:20:00;78.288;0.444
22/12/2011 09:25:00;78.328;0.480
22/12/2011 09:30:00;78.373;0.540
22/12/2011 09:35:00;78.430;0.684
22/12/2011 09:40:00;78.486;0.672
22/12/2011 09:45:00;78.552;0.792
22/12/2011 09:50:00;78.622;0.840
22/12/2011 09:55:00;78.694;0.864
22/12/2011 10:00:00;78.766;0.864
22/12/2011 10:05:00;78.846;0.960
22/12/2011 10:10:00;78.922;0.912
22/12/2011 10:15:00;78.992;0.840
22/12/2011 10:20:00;79.067;0.900
22/12/2011 10:25:00;79.152;1.020
22/12/2011 10:30:00;79.237;1.020
22/12/2011 10:35:00;79.321;1.008
22/12/2011 10:40:00;79.406;1.020
22/12/2011 10:45:00;79.482;0.912
22/12/2011 10:50:00;79.558;0.912
22/12/2011 10:55:00;79.632;0.888
22/12/2011 11:00:00;79.707;0.900
22/12/2011 11:05:00;79.793;1.032
22/12/2011 11:10:00;79.878;1.020
22/12/2011 11:15:00;79.965;1.044
22/12/2011 11:20:00;80.046;0.972
22/12/2011 11:25:00;80.128;0.984
22/12/2011 11:30:00;80.211;0.996
22/12/2011 11:35:00;80.293;0.984
22/12/2011 11:40:00;80.374;0.972
22/12/2011 11:45:00;80.453;0.948
22/12/2011 11:50:00;80.530;0.924
22/12/2011 11:55:00;80.605;0.900
22/12/2011 12:00:00;80.679;0.888
22/12/2011 12:05:00;80.750;0.852
22/12/2011 12:10:00;80.819;0.828
22/12/2011 12:15:00;80.886;0.804
22/12/2011 12:20:00;80.951;0.780
22/12/2011 12:25:00;81.014;0.756
22/12/2011 12:30:00;81.074;0.720
22/12/2011 12:35:00;81.131;0.684
22/12/2011 12:40:00;81.185;0.648
22/12/2011 12:45:00;81.237;0.624
22/12/2011 12:50:00;81.286;0.588
22/12/2011 12:55:00;81.332;0.552
22/12/2011 13:00:00;81.374;0.504
22/12/2011 13:05:00;81.414;0.480
22/12/2011 13:10:00;81.451;0.444
22/12/2011 13:15:00;81.485;0.408
22/12/2011 13:20:00;81.516;0.372
22/12/2011 13:25:00;81.545;0.348
22/12/2011 13:30:00;81.571;0.312
22/12/2011 13:35:00;81.594;0.276
22/12/2011 13:40:00;81.614;0.240
22/12/2011 13:45:00;81.632;0.216
22/12/2011 13:50:00;81.648;0.192
22/12/2011 13:55:00;81.662;0.168
22/12/2011 14:00:00;81.674;0.144
22/12/2011 14:05:00;81.684;0.120
22/12/2011 14:10:00;81.693;0.108
22/12/2011 14:15:00;81.702;0.108
22/12/2011 14:20:00;81.710;0.096
22/12/2011 14:25:00;81.717;0.084
22/12/2011 14:30:00;81.724;0.084
22/12/2011 14:35:00;81.730;0.072
22/12/2011 14:40:00;81.736;0.072
22/12/2011 14:45:00;81.742;0.072
22/12/2011 14:50:00;81.747;0.060
22/12/2011 14:55:00;81.751;0.048
22/12/2011 15:00:00;81.756;0.060
22/12/2011 15:05:00;81.759;0.036
22/12/2011 15:10:00;81.763;0.048
22/12/2011 15:15:00;81.766;0.036
22/12/2011 15:20:00;81.768;0.024
22/12/2011 15:25:00;81.770;0.024
22/12/2011 15:30:00;81.771;0.012
22/12/2011 15:35:00;81.772;0.012
22/12/2011 15:40:00;81.772;0.000
22/12/2011 15:45:00;81.772;0.000
22/12/2011 15:50:00;81.772;0.000
22/12/2011 15:55:00;81.772;0.000
22/12/2011 16:00:00;81.772;0.000
22/12/2011 16:05:00;81.772;0.000
22/12/2011 16:10:00;81.772;0.000
22/12/2011 16:15:00;81.772;0.000
22/12/2011 16:20:00;81.772;0.000
22/12/2011 16:25:00;81.772;0.000
22/12/2011 16:30:00;81.772;0.000
22/12/2011 16:35:00;81.772;0.000
22/12/2011 16:40:00;81.772;0.000
22/12/2011 16:45:00;81.772;0.000
22/12/2011 16:50:00;81.772;0.000
22/12/2011 16:55:00;81.772;0.000
22/12/2011 17:00:00;81.772;0.000
22/12/2011 17:05:00;81.772;0.000
22/12/2011 17:10:00;81.772;0.000
22/12/2011 17:15:00;81.772;0.000
22/12/2011 17:20:00;81.772;0.000
22/12/2011 17:25:00;81.772;0.000
22/12/2011 17:30:00;81.772;0.000
22/12/2011 17:35:00;81.772;0.000
22/12/2011 17:40:00;81.772;0.000
22/12/2011 17:45:00;81.772;0.000
22/12/2011 17:50:00;81.772;0.000
22/12/2011 17:55:00;81.772;0.000
22/12/2011 18:00:00;81.772;0.000
22/12/2011 18:05:00;81.772;0.000
22/12/2011 18:10:00;81.772;0.000
22/12/2011 18:15:00;81.772;0.000
22/12/2011 18:20:00;81.772;0.000
22/12/2011 18:25:00;81.772;0.000
22/12/2011 18:30:00;81.772;0.000
22/12/2011 18:35:00;81.772;0.000
22/12/2011 18:40:00;81.772;0.000
22/12/2011 18:45:00;81.772;0.000
22/12/2011 18:50:00;81.772;0.000
22/12/2011 18:55:00;81.772;0.000
22/12/2011 19:00:00;81.772;0.000
22/12/2011 19:05:00;81.772;0.000
22/12/2011 19:10:00;81.772;0.000
22/12/2011 19:15:00;81.772;0.000
22/12/2011 19:20:00;81.772;0.000
22/12/2011 19:25:00;81.772;0.000
22/12/2011 19:30:00;81.772;0.000
22/12/2011 19:35:00;81.772;0.000
22/12/2011 19:40:00;81.772;0.000
22/12/2011 19:45:00;81.772;0.000
22/12/2011 19:50:00;81.772;0.000
22/12/2011 19:55:00;81.772;0.000
22/12/2011 20:00:00;81.772;0.000
22/12/2011 20:05:00;81.772;0.000
22/12/2011 20:10:00;81.772;0.000
22/12/2011 20:15:00;81.772;0.000
22/12/2011 20:20:00;81.772;0.000
22/12/2011 20:25:00;81.772;0.000
22/12/2011 20:30:00;81.772;0.000
22/12/2011 20:35:00;81.772;0.000
22/12/2011 20:40:00;81.772;0.000
22/12/2011 20:45:00;81.772;0.000
22/12/2011 20:50:00;81.772;0.000
22/12/2011 20:55:00;81.772;0.000
