sep=;
Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint dot|Precision 3

;SN: 2100532006;SN: 2100532006
;SB 4000TL-20;SB 4000TL-20
;2100532006;2100532006
;Total yield;Power
;Counter;Analog
dd/MM/yyyy HH:mm:ss;kWh;kW
03/02/2012 00:00:00;196.243;0.000
03/02/2012 00:05:00;196.243;0.000
03/02/2012 00:10:00;196.243;0.000
03/02/2012 00:15:00;196.243;0.000
03/02/2012 00:20:00;196.243;0.000
03/02/2012 00:25:00;196.243;0.000
03/02/2012 00:30:00;196.243;0.000
03/02/2012 00:35:00;196.243;0.000
03/02/2012 00:40:00;196.243;0.000
03/02/2012 00:45:00;196.243;0.000
03/02/2012 00:50:00;196.243;0.000
03/02/2012 00:55:00;196.243;0.000
03/02/2012 01:00:00;196.243;0.000
03/02/2012 01:05:00;196.243;0.000
03/02/2012 01:10:00;196.243;0.000
03/02/2012 01:15:00;196.243;0.000
03/02/2012 01:20:00;196.243;0.000
03/02/2012 01:25:00;196.243;0.000
03/02/2012 01:30:00;196.243;0.000
03/02/2012 01:35:00;196.243;0.000
03/02/2012 01:40:00;196.243;0.000
03/02/2012 01:45:00;196.243;0.000
03/02/2012 01:50:00;196.243;0.000
03/02/2012 01:55:00;196.243;0.000
03/02/2012 02:00:00;196.243;0.000
03/02/2012 02:05:00;196.243;0.000
03/02/2012 02:10:00;196.243;0.000
03/02/2012 02:15:00;196.243;0.000
03/02/2012 02:20:00;196.243;0.000
03/02/2012 02:25:00;196.243;0.000
03/02/2012 02:30:00;196.243;0.000
03/02/2012 02:35:00;196.243;0.000
03/02/2012 02:40:00;196.243;0.000
03/02/2012 02:45:00;196.243;0.000
03/02/2012 02:50:00;196.243;0.000
03/02/2012 02:55:00;196.243;0.000
03/02/2012 03:00:00;196.243;0.000
03/02/2012 03:05:00;196.243;0.000
03/02/2012 03:10:00;196.243;0.000
03/02/2012 03:15:00;196.243;0.000
03/02/2012 03:20:00;196.243;0.000
03/02/2012 03:25:00;196.243;0.000
03/02/2012 03:30:00;196.243;0.000
03/02/2012 03:35:00;196.243;0.000
03/02/2012 03:40:00;196.243;0.000
03/02/2012 03:45:00;196.243;0.000
03/02/2012 03:50:00;196.243;0.000
03/02/2012 03:55:00;196.243;0.000
03/02/2012 04:00:00;196.243;0.000
03/02/2012 04:05:00;196.243;0.000
03/02/2012 04:10:00;196.243;0.000
03/02/2012 04:15:00;196.243;0.000
03/02/2012 04:20:00;196.243;0.000
03/02/2012 04:25:00;196.243;0.000
03/02/2012 04:30:00;196.243;0.000
03/02/2012 04:35:00;196.243;0.000
03/02/2012 04:40:00;196.243;0.000
03/02/2012 04:45:00;196.243;0.000
03/02/2012 04:50:00;196.243;0.000
03/02/2012 04:55:00;196.243;0.000
03/02/2012 05:00:00;196.243;0.000
03/02/2012 05:05:00;196.243;0.000
03/02/2012 05:10:00;196.243;0.000
03/02/2012 05:15:00;196.243;0.000
03/02/2012 05:20:00;196.243;0.000
03/02/2012 05:25:00;196.243;0.000
03/02/2012 05:30:00;196.243;0.000
03/02/2012 05:35:00;196.243;0.000
03/02/2012 05:40:00;196.243;0.000
03/02/2012 05:45:00;196.243;0.000
03/02/2012 05:50:00;196.243;0.000
03/02/2012 05:55:00;196.243;0.000
03/02/2012 06:00:00;196.243;0.000
03/02/2012 06:05:00;196.243;0.000
03/02/2012 06:10:00;196.243;0.000
03/02/2012 06:15:00;196.243;0.000
03/02/2012 06:20:00;196.243;0.000
03/02/2012 06:25:00;196.243;0.000
03/02/2012 06:30:00;196.243;0.000
03/02/2012 06:35:00;196.243;0.000
03/02/2012 06:40:00;196.243;0.000
03/02/2012 06:45:00;196.243;0.000
03/02/2012 06:50:00;196.243;0.000
03/02/2012 06:55:00;196.243;0.000
03/02/2012 07:00:00;196.243;0.000
03/02/2012 07:05:00;196.243;0.000
03/02/2012 07:10:00;196.243;0.000
03/02/2012 07:15:00;196.243;0.000
03/02/2012 07:20:00;196.243;0.000
03/02/2012 07:25:00;196.243;0.000
03/02/2012 07:30:00;196.243;0.000
03/02/2012 07:35:00;196.243;0.000
03/02/2012 07:40:00;196.243;0.000
03/02/2012 07:45:00;196.243;0.000
03/02/2012 07:50:00;196.243;0.000
03/02/2012 07:55:00;196.243;0.000
03/02/2012 08:00:00;196.244;0.012
03/02/2012 08:05:00;196.247;0.036
03/02/2012 08:10:00;196.251;0.048
03/02/2012 08:15:00;196.256;0.060
03/02/2012 08:20:00;196.261;0.060
03/02/2012 08:25:00;196.269;0.096
03/02/2012 08:30:00;196.279;0.120
03/02/2012 08:35:00;196.291;0.144
03/02/2012 08:40:00;196.310;0.228
03/02/2012 08:45:00;196.335;0.300
03/02/2012 08:50:00;196.393;0.696
03/02/2012 08:55:00;196.467;0.888
03/02/2012 09:00:00;196.550;0.996
03/02/2012 09:05:00;196.639;1.068
03/02/2012 09:10:00;196.729;1.080
03/02/2012 09:15:00;196.834;1.260
03/02/2012 09:20:00;196.947;1.356
03/02/2012 09:25:00;197.065;1.416
03/02/2012 09:30:00;197.186;1.452
03/02/2012 09:35:00;197.313;1.524
03/02/2012 09:40:00;197.442;1.548
03/02/2012 09:45:00;197.573;1.572
03/02/2012 09:50:00;197.707;1.608
03/02/2012 09:55:00;197.841;1.608
03/02/2012 10:00:00;197.978;1.644
03/02/2012 10:05:00;198.114;1.632
03/02/2012 10:10:00;198.253;1.668
03/02/2012 10:15:00;198.393;1.680
03/02/2012 10:20:00;198.533;1.680
03/02/2012 10:25:00;198.675;1.704
03/02/2012 10:30:00;198.818;1.716
03/02/2012 10:35:00;198.961;1.716
03/02/2012 10:40:00;199.104;1.716
03/02/2012 10:45:00;199.248;1.728
03/02/2012 10:50:00;199.390;1.704
03/02/2012 10:55:00;199.533;1.716
03/02/2012 11:00:00;199.677;1.728
03/02/2012 11:05:00;199.819;1.704
03/02/2012 11:10:00;199.960;1.692
03/02/2012 11:15:00;200.099;1.668
03/02/2012 11:20:00;200.239;1.680
03/02/2012 11:25:00;200.378;1.668
03/02/2012 11:30:00;200.517;1.668
03/02/2012 11:35:00;200.652;1.620
03/02/2012 11:40:00;200.786;1.608
03/02/2012 11:45:00;200.917;1.572
03/02/2012 11:50:00;201.045;1.536
03/02/2012 11:55:00;201.171;1.512
03/02/2012 12:00:00;201.295;1.488
03/02/2012 12:05:00;201.404;1.308
03/02/2012 12:10:00;201.529;1.500
03/02/2012 12:15:00;201.651;1.464
03/02/2012 12:20:00;201.768;1.404
03/02/2012 12:25:00;201.884;1.392
03/02/2012 12:30:00;201.999;1.380
03/02/2012 12:35:00;202.113;1.368
03/02/2012 12:40:00;202.219;1.272
03/02/2012 12:45:00;202.323;1.248
03/02/2012 12:50:00;202.424;1.212
03/02/2012 12:55:00;202.520;1.152
03/02/2012 13:00:00;202.613;1.116
03/02/2012 13:05:00;202.702;1.068
03/02/2012 13:10:00;202.788;1.032
03/02/2012 13:15:00;202.873;1.020
03/02/2012 13:20:00;202.953;0.960
03/02/2012 13:25:00;203.029;0.912
03/02/2012 13:30:00;203.096;0.804
03/02/2012 13:35:00;203.164;0.816
03/02/2012 13:40:00;203.226;0.744
03/02/2012 13:45:00;203.285;0.708
03/02/2012 13:50:00;203.337;0.624
03/02/2012 13:55:00;203.386;0.588
03/02/2012 14:00:00;203.433;0.564
03/02/2012 14:05:00;203.473;0.480
03/02/2012 14:10:00;203.514;0.492
03/02/2012 14:15:00;203.548;0.408
03/02/2012 14:20:00;203.581;0.396
03/02/2012 14:25:00;203.611;0.360
03/02/2012 14:30:00;203.638;0.324
03/02/2012 14:35:00;203.660;0.264
03/02/2012 14:40:00;203.678;0.216
03/02/2012 14:45:00;203.695;0.204
03/02/2012 14:50:00;203.711;0.192
03/02/2012 14:55:00;203.724;0.156
03/02/2012 15:00:00;203.737;0.156
03/02/2012 15:05:00;203.748;0.132
03/02/2012 15:10:00;203.761;0.156
03/02/2012 15:15:00;203.772;0.132
03/02/2012 15:20:00;203.782;0.120
03/02/2012 15:25:00;203.791;0.108
03/02/2012 15:30:00;203.800;0.108
03/02/2012 15:35:00;203.810;0.120
03/02/2012 15:40:00;203.819;0.108
03/02/2012 15:45:00;203.829;0.120
03/02/2012 15:50:00;203.836;0.084
03/02/2012 15:55:00;203.842;0.072
03/02/2012 16:00:00;203.847;0.060
03/02/2012 16:05:00;203.852;0.060
03/02/2012 16:10:00;203.856;0.048
03/02/2012 16:15:00;203.859;0.036
03/02/2012 16:20:00;203.862;0.036
03/02/2012 16:25:00;203.863;0.012
03/02/2012 16:30:00;203.865;0.024
03/02/2012 16:35:00;203.865;0.000
03/02/2012 16:40:00;203.865;0.000
03/02/2012 16:45:00;203.865;0.000
03/02/2012 16:50:00;203.865;0.000
03/02/2012 16:55:00;203.865;0.000
03/02/2012 17:00:00;203.865;0.000
03/02/2012 17:05:00;203.865;0.000
03/02/2012 17:10:00;203.865;0.000
03/02/2012 17:15:00;203.865;0.000
03/02/2012 17:20:00;203.865;0.000
03/02/2012 17:25:00;203.865;0.000
03/02/2012 17:30:00;203.865;0.000
03/02/2012 17:35:00;203.865;0.000
03/02/2012 17:40:00;203.865;0.000
03/02/2012 17:45:00;203.865;0.000
03/02/2012 17:50:00;203.865;0.000
03/02/2012 17:55:00;203.865;0.000
03/02/2012 18:00:00;203.865;0.000
03/02/2012 18:05:00;203.865;0.000
03/02/2012 18:10:00;203.865;0.000
03/02/2012 18:15:00;203.865;0.000
03/02/2012 18:20:00;203.865;0.000
03/02/2012 18:25:00;203.865;0.000
03/02/2012 18:30:00;203.865;0.000
03/02/2012 18:35:00;203.865;0.000
03/02/2012 18:40:00;203.865;0.000
03/02/2012 18:45:00;203.865;0.000
03/02/2012 18:50:00;203.865;0.000
03/02/2012 18:55:00;203.865;0.000
03/02/2012 19:00:00;203.865;0.000
03/02/2012 19:05:00;203.865;0.000
03/02/2012 19:10:00;203.865;0.000
03/02/2012 19:15:00;203.865;0.000
