sep=;
Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint dot|Precision 3

;SN: 2100532006;SN: 2100532006
;SB 4000TL-20;SB 4000TL-20
;2100532006;2100532006
;Total yield;Power
;Counter;Analog
dd/MM/yyyy HH:mm:ss;kWh;kW
21/07/2012 00:00:00;2091.900;0.000
21/07/2012 00:05:00;2091.900;0.000
21/07/2012 00:10:00;2091.900;0.000
21/07/2012 00:15:00;2091.900;0.000
21/07/2012 00:20:00;2091.900;0.000
21/07/2012 00:25:00;2091.900;0.000
21/07/2012 00:30:00;2091.900;0.000
21/07/2012 00:35:00;2091.900;0.000
21/07/2012 00:40:00;2091.900;0.000
21/07/2012 00:45:00;2091.900;0.000
21/07/2012 00:50:00;2091.900;0.000
21/07/2012 00:55:00;2091.900;0.000
21/07/2012 01:00:00;2091.900;0.000
21/07/2012 01:05:00;2091.900;0.000
21/07/2012 01:10:00;2091.900;0.000
21/07/2012 01:15:00;2091.900;0.000
21/07/2012 01:20:00;2091.900;0.000
21/07/2012 01:25:00;2091.900;0.000
21/07/2012 01:30:00;2091.900;0.000
21/07/2012 01:35:00;2091.900;0.000
21/07/2012 01:40:00;2091.900;0.000
21/07/2012 01:45:00;2091.900;0.000
21/07/2012 01:50:00;2091.900;0.000
21/07/2012 01:55:00;2091.900;0.000
21/07/2012 02:00:00;2091.900;0.000
21/07/2012 02:05:00;2091.900;0.000
21/07/2012 02:10:00;2091.900;0.000
21/07/2012 02:15:00;2091.900;0.000
21/07/2012 02:20:00;2091.900;0.000
21/07/2012 02:25:00;2091.900;0.000
21/07/2012 02:30:00;2091.900;0.000
21/07/2012 02:35:00;2091.900;0.000
21/07/2012 02:40:00;2091.900;0.000
21/07/2012 02:45:00;2091.900;0.000
21/07/2012 02:50:00;2091.900;0.000
21/07/2012 02:55:00;2091.900;0.000
21/07/2012 03:00:00;2091.900;0.000
21/07/2012 03:05:00;2091.900;0.000
21/07/2012 03:10:00;2091.900;0.000
21/07/2012 03:15:00;2091.900;0.000
21/07/2012 03:20:00;2091.900;0.000
21/07/2012 03:25:00;2091.900;0.000
21/07/2012 03:30:00;2091.900;0.000
21/07/2012 03:35:00;2091.900;0.000
21/07/2012 03:40:00;2091.900;0.000
21/07/2012 03:45:00;2091.900;0.000
21/07/2012 03:50:00;2091.900;0.000
21/07/2012 03:55:00;2091.900;0.000
21/07/2012 04:00:00;2091.900;0.000
21/07/2012 04:05:00;2091.900;0.000
21/07/2012 04:10:00;2091.900;0.000
21/07/2012 04:15:00;2091.900;0.000
21/07/2012 04:20:00;2091.900;0.000
21/07/2012 04:25:00;2091.900;0.000
21/07/2012 04:30:00;2091.900;0.000
21/07/2012 04:35:00;2091.900;0.000
21/07/2012 04:40:00;2091.900;0.000
21/07/2012 04:45:00;2091.900;0.000
21/07/2012 04:50:00;2091.900;0.000
21/07/2012 04:55:00;2091.900;0.000
21/07/2012 05:00:00;2091.900;0.000
21/07/2012 05:05:00;2091.900;0.000
21/07/2012 05:10:00;2091.900;0.000
21/07/2012 05:15:00;2091.900;0.000
21/07/2012 05:20:00;2091.900;0.000
21/07/2012 05:25:00;2091.900;0.000
21/07/2012 05:30:00;2091.902;0.024
21/07/2012 05:35:00;2091.905;0.036
21/07/2012 05:40:00;2091.909;0.048
21/07/2012 05:45:00;2091.915;0.072
21/07/2012 05:50:00;2091.922;0.084
21/07/2012 05:55:00;2091.931;0.108
21/07/2012 06:00:00;2091.943;0.144
21/07/2012 06:05:00;2091.956;0.156
21/07/2012 06:10:00;2091.970;0.168
21/07/2012 06:15:00;2091.987;0.204
21/07/2012 06:20:00;2092.006;0.228
21/07/2012 06:25:00;2092.028;0.264
21/07/2012 06:30:00;2092.050;0.264
21/07/2012 06:35:00;2092.081;0.372
21/07/2012 06:40:00;2092.131;0.600
21/07/2012 06:45:00;2092.202;0.852
21/07/2012 06:50:00;2092.336;1.608
21/07/2012 06:55:00;2092.459;1.476
21/07/2012 07:00:00;2092.593;1.608
21/07/2012 07:05:00;2092.721;1.536
21/07/2012 07:10:00;2092.862;1.692
21/07/2012 07:15:00;2093.016;1.848
21/07/2012 07:20:00;2093.172;1.872
21/07/2012 07:25:00;2093.341;2.028
21/07/2012 07:30:00;2093.406;0.780
21/07/2012 07:35:00;2093.462;0.672
21/07/2012 07:40:00;2093.518;0.672
21/07/2012 07:45:00;2093.585;0.804
21/07/2012 07:50:00;2093.765;2.160
21/07/2012 07:55:00;2093.926;1.932
21/07/2012 08:00:00;2094.070;1.728
21/07/2012 08:05:00;2094.139;0.828
21/07/2012 08:10:00;2094.282;1.716
21/07/2012 08:15:00;2094.489;2.484
21/07/2012 08:20:00;2094.691;2.424
21/07/2012 08:25:00;2094.893;2.424
21/07/2012 08:30:00;2095.096;2.436
21/07/2012 08:35:00;2095.302;2.472
21/07/2012 08:40:00;2095.512;2.520
21/07/2012 08:45:00;2095.725;2.556
21/07/2012 08:50:00;2095.941;2.592
21/07/2012 08:55:00;2096.157;2.592
21/07/2012 09:00:00;2096.400;2.916
21/07/2012 09:05:00;2096.659;3.108
21/07/2012 09:10:00;2096.909;3.000
21/07/2012 09:15:00;2097.163;3.048
21/07/2012 09:20:00;2097.425;3.144
21/07/2012 09:25:00;2097.696;3.252
21/07/2012 09:30:00;2097.939;2.916
21/07/2012 09:35:00;2098.016;0.924
21/07/2012 09:40:00;2098.078;0.744
21/07/2012 09:45:00;2098.200;1.464
21/07/2012 09:50:00;2098.387;2.244
21/07/2012 09:55:00;2098.651;3.168
21/07/2012 10:00:00;2098.913;3.144
21/07/2012 10:05:00;2099.155;2.904
21/07/2012 10:10:00;2099.362;2.484
21/07/2012 10:15:00;2099.577;2.580
21/07/2012 10:20:00;2099.742;1.980
21/07/2012 10:25:00;2100.021;3.348
21/07/2012 10:30:00;2100.287;3.192
21/07/2012 10:35:00;2100.566;3.348
21/07/2012 10:40:00;2100.846;3.360
21/07/2012 10:45:00;2101.126;3.360
21/07/2012 10:50:00;2101.237;1.332
21/07/2012 10:55:00;2101.322;1.020
21/07/2012 11:00:00;2101.408;1.032
21/07/2012 11:05:00;2101.490;0.984
21/07/2012 11:10:00;2101.568;0.936
21/07/2012 11:15:00;2101.741;2.076
21/07/2012 11:20:00;2102.036;3.540
21/07/2012 11:25:00;2102.314;3.336
21/07/2012 11:30:00;2102.590;3.312
21/07/2012 11:35:00;2102.873;3.396
21/07/2012 11:40:00;2102.956;0.996
21/07/2012 11:45:00;2103.042;1.032
21/07/2012 11:50:00;2103.120;0.936
21/07/2012 11:55:00;2103.264;1.728
21/07/2012 12:00:00;2103.332;0.816
21/07/2012 12:05:00;2103.394;0.744
21/07/2012 12:10:00;2103.538;1.728
21/07/2012 12:15:00;2103.834;3.552
21/07/2012 12:20:00;2104.130;3.552
21/07/2012 12:25:00;2104.392;3.144
21/07/2012 12:30:00;2104.614;2.664
21/07/2012 12:35:00;2104.691;0.924
21/07/2012 12:40:00;2104.768;0.924
21/07/2012 12:45:00;2104.881;1.356
21/07/2012 12:50:00;2105.068;2.244
21/07/2012 12:55:00;2105.291;2.676
21/07/2012 13:00:00;2105.569;3.336
21/07/2012 13:05:00;2105.767;2.376
21/07/2012 13:10:00;2105.841;0.888
21/07/2012 13:15:00;2105.905;0.768
21/07/2012 13:20:00;2105.965;0.720
21/07/2012 13:25:00;2106.025;0.720
21/07/2012 13:30:00;2106.094;0.828
21/07/2012 13:35:00;2106.212;1.416
21/07/2012 13:40:00;2106.424;2.544
21/07/2012 13:45:00;2106.509;1.020
21/07/2012 13:50:00;2106.735;2.712
21/07/2012 13:55:00;2106.902;2.004
21/07/2012 14:00:00;2107.045;1.716
21/07/2012 14:05:00;2107.258;2.556
21/07/2012 14:10:00;2107.455;2.364
21/07/2012 14:15:00;2107.672;2.604
21/07/2012 14:20:00;2107.883;2.532
21/07/2012 14:25:00;2108.091;2.496
21/07/2012 14:30:00;2108.191;1.200
21/07/2012 14:35:00;2108.247;0.672
21/07/2012 14:40:00;2108.313;0.792
21/07/2012 14:45:00;2108.428;1.380
21/07/2012 14:50:00;2108.595;2.004
21/07/2012 14:55:00;2108.661;0.792
21/07/2012 15:00:00;2108.766;1.260
21/07/2012 15:05:00;2108.899;1.596
21/07/2012 15:10:00;2108.987;1.056
21/07/2012 15:15:00;2109.069;0.984
21/07/2012 15:20:00;2109.188;1.428
21/07/2012 15:25:00;2109.302;1.368
21/07/2012 15:30:00;2109.407;1.260
21/07/2012 15:35:00;2109.498;1.092
21/07/2012 15:40:00;2109.579;0.972
21/07/2012 15:45:00;2109.689;1.320
21/07/2012 15:50:00;2109.792;1.236
21/07/2012 15:55:00;2109.881;1.068
21/07/2012 16:00:00;2109.941;0.720
21/07/2012 16:05:00;2109.993;0.624
21/07/2012 16:10:00;2110.045;0.624
21/07/2012 16:15:00;2110.102;0.684
21/07/2012 16:20:00;2110.153;0.612
21/07/2012 16:25:00;2110.200;0.564
21/07/2012 16:30:00;2110.253;0.636
21/07/2012 16:35:00;2110.318;0.780
21/07/2012 16:40:00;2110.390;0.864
21/07/2012 16:45:00;2110.464;0.888
21/07/2012 16:50:00;2110.532;0.816
21/07/2012 16:55:00;2110.590;0.696
21/07/2012 17:00:00;2110.641;0.612
21/07/2012 17:05:00;2110.690;0.588
21/07/2012 17:10:00;2110.733;0.516
21/07/2012 17:15:00;2110.773;0.480
21/07/2012 17:20:00;2110.803;0.360
21/07/2012 17:25:00;2110.839;0.432
21/07/2012 17:30:00;2110.873;0.408
21/07/2012 17:35:00;2110.905;0.384
21/07/2012 17:40:00;2110.934;0.348
21/07/2012 17:45:00;2110.970;0.432
21/07/2012 17:50:00;2111.008;0.456
21/07/2012 17:55:00;2111.046;0.456
21/07/2012 18:00:00;2111.085;0.468
21/07/2012 18:05:00;2111.122;0.444
21/07/2012 18:10:00;2111.155;0.396
21/07/2012 18:15:00;2111.181;0.312
21/07/2012 18:20:00;2111.204;0.276
21/07/2012 18:25:00;2111.232;0.336
21/07/2012 18:30:00;2111.260;0.336
21/07/2012 18:35:00;2111.290;0.360
21/07/2012 18:40:00;2111.311;0.252
21/07/2012 18:45:00;2111.336;0.300
21/07/2012 18:50:00;2111.357;0.252
21/07/2012 18:55:00;2111.377;0.240
21/07/2012 19:00:00;2111.396;0.228
21/07/2012 19:05:00;2111.418;0.264
21/07/2012 19:10:00;2111.440;0.264
21/07/2012 19:15:00;2111.458;0.216
21/07/2012 19:20:00;2111.474;0.192
21/07/2012 19:25:00;2111.489;0.180
21/07/2012 19:30:00;2111.505;0.192
21/07/2012 19:35:00;2111.521;0.192
21/07/2012 19:40:00;2111.538;0.204
21/07/2012 19:45:00;2111.554;0.192
21/07/2012 19:50:00;2111.569;0.180
21/07/2012 19:55:00;2111.582;0.156
