sep=;
Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint dot|Precision 3

;SN: 2100532006;SN: 2100532006
;SB 4000TL-20;SB 4000TL-20
;2100532006;2100532006
;Total yield;Power
;Counter;Analog
dd/MM/yyyy HH:mm:ss;kWh;kW
19/06/2012 00:00:00;1658.350;0.000
19/06/2012 00:05:00;1658.350;0.000
19/06/2012 00:10:00;1658.350;0.000
19/06/2012 00:15:00;1658.350;0.000
19/06/2012 00:20:00;1658.350;0.000
19/06/2012 00:25:00;1658.350;0.000
19/06/2012 00:30:00;1658.350;0.000
19/06/2012 00:35:00;1658.350;0.000
19/06/2012 00:40:00;1658.350;0.000
19/06/2012 00:45:00;1658.350;0.000
19/06/2012 00:50:00;1658.350;0.000
19/06/2012 00:55:00;1658.350;0.000
19/06/2012 01:00:00;1658.350;0.000
19/06/2012 01:05:00;1658.350;0.000
19/06/2012 01:10:00;1658.350;0.000
19/06/2012 01:15:00;1658.350;0.000
19/06/2012 01:20:00;1658.350;0.000
19/06/2012 01:25:00;1658.350;0.000
19/06/2012 01:30:00;1658.350;0.000
19/06/2012 01:35:00;1658.350;0.000
19/06/2012 01:40:00;1658.350;0.000
19/06/2012 01:45:00;1658.350;0.000
19/06/2012 01:50:00;1658.350;0.000
19/06/2012 01:55:00;1658.350;0.000
19/06/2012 02:00:00;1658.350;0.000
19/06/2012 02:05:00;1658.350;0.000
19/06/2012 02:10:00;1658.350;0.000
19/06/2012 02:15:00;1658.350;0.000
19/06/2012 02:20:00;1658.350;0.000
19/06/2012 02:25:00;1658.350;0.000
19/06/2012 02:30:00;1658.350;0.000
19/06/2012 02:35:00;1658.350;0.000
19/06/2012 02:40:00;1658.350;0.000
19/06/2012 02:45:00;1658.350;0.000
19/06/2012 02:50:00;1658.350;0.000
19/06/2012 02:55:00;1658.350;0.000
19/06/2012 03:00:00;1658.350;0.000
19/06/2012 03:05:00;1658.350;0.000
19/06/2012 03:10:00;1658.350;0.000
19/06/2012 03:15:00;1658.350;0.000
19/06/2012 03:20:00;1658.350;0.000
19/06/2012 03:25:00;1658.350;0.000
19/06/2012 03:30:00;1658.350;0.000
19/06/2012 03:35:00;1658.350;0.000
19/06/2012 03:40:00;1658.350;0.000
19/06/2012 03:45:00;1658.350;0.000
19/06/2012 03:50:00;1658.350;0.000
19/06/2012 03:55:00;1658.350;0.000
19/06/2012 04:00:00;1658.350;0.000
19/06/2012 04:05:00;1658.350;0.000
19/06/2012 04:10:00;1658.350;0.000
19/06/2012 04:15:00;1658.350;0.000
19/06/2012 04:20:00;1658.350;0.000
19/06/2012 04:25:00;1658.350;0.000
19/06/2012 04:30:00;1658.350;0.000
19/06/2012 04:35:00;1658.350;0.000
19/06/2012 04:40:00;1658.350;0.000
19/06/2012 04:45:00;1658.350;0.000
19/06/2012 04:50:00;1658.350;0.000
19/06/2012 04:55:00;1658.350;0.000
19/06/2012 05:00:00;1658.350;0.000
19/06/2012 05:05:00;1658.352;0.024
19/06/2012 05:10:00;1658.354;0.024
19/06/2012 05:15:00;1658.360;0.072
19/06/2012 05:20:00;1658.373;0.156
19/06/2012 05:25:00;1658.399;0.312
19/06/2012 05:30:00;1658.417;0.216
19/06/2012 05:35:00;1658.447;0.360
19/06/2012 05:40:00;1658.491;0.528
19/06/2012 05:45:00;1658.543;0.624
19/06/2012 05:50:00;1658.601;0.696
19/06/2012 05:55:00;1658.665;0.768
19/06/2012 06:00:00;1658.738;0.876
19/06/2012 06:05:00;1658.824;1.032
19/06/2012 06:10:00;1658.907;0.996
19/06/2012 06:15:00;1658.996;1.068
19/06/2012 06:20:00;1659.092;1.152
19/06/2012 06:25:00;1659.194;1.224
19/06/2012 06:30:00;1659.301;1.284
19/06/2012 06:35:00;1659.412;1.332
19/06/2012 06:40:00;1659.530;1.416
19/06/2012 06:45:00;1659.654;1.488
19/06/2012 06:50:00;1659.783;1.548
19/06/2012 06:55:00;1659.918;1.620
19/06/2012 07:00:00;1660.059;1.692
19/06/2012 07:05:00;1660.206;1.764
19/06/2012 07:10:00;1660.359;1.836
19/06/2012 07:15:00;1660.517;1.896
19/06/2012 07:20:00;1660.678;1.932
19/06/2012 07:25:00;1660.846;2.016
19/06/2012 07:30:00;1661.018;2.064
19/06/2012 07:35:00;1661.195;2.124
19/06/2012 07:40:00;1661.376;2.172
19/06/2012 07:45:00;1661.561;2.220
19/06/2012 07:50:00;1661.751;2.280
19/06/2012 07:55:00;1661.944;2.316
19/06/2012 08:00:00;1662.142;2.376
19/06/2012 08:05:00;1662.351;2.508
19/06/2012 08:10:00;1662.493;1.704
19/06/2012 08:15:00;1662.635;1.704
19/06/2012 08:20:00;1662.844;2.508
19/06/2012 08:25:00;1662.935;1.092
19/06/2012 08:30:00;1663.093;1.896
19/06/2012 08:35:00;1663.332;2.868
19/06/2012 08:40:00;1663.441;1.308
19/06/2012 08:45:00;1663.662;2.652
19/06/2012 08:50:00;1663.903;2.892
19/06/2012 08:55:00;1664.119;2.592
19/06/2012 09:00:00;1664.337;2.616
19/06/2012 09:05:00;1664.585;2.976
19/06/2012 09:10:00;1664.827;2.904
19/06/2012 09:15:00;1665.071;2.928
19/06/2012 09:20:00;1665.318;2.964
19/06/2012 09:25:00;1665.559;2.892
19/06/2012 09:30:00;1665.823;3.168
19/06/2012 09:35:00;1666.062;2.868
19/06/2012 09:40:00;1666.293;2.772
19/06/2012 09:45:00;1666.556;3.156
19/06/2012 09:50:00;1666.822;3.192
19/06/2012 09:55:00;1667.046;2.688
19/06/2012 10:00:00;1667.260;2.568
19/06/2012 10:05:00;1667.534;3.288
19/06/2012 10:10:00;1667.741;2.484
19/06/2012 10:15:00;1667.956;2.580
19/06/2012 10:20:00;1668.176;2.640
19/06/2012 10:25:00;1668.451;3.300
19/06/2012 10:30:00;1668.740;3.468
19/06/2012 10:35:00;1668.961;2.652
19/06/2012 10:40:00;1669.239;3.336
19/06/2012 10:45:00;1669.502;3.156
19/06/2012 10:50:00;1669.651;1.788
19/06/2012 10:55:00;1669.929;3.336
19/06/2012 11:00:00;1670.060;1.572
19/06/2012 11:05:00;1670.130;0.840
19/06/2012 11:10:00;1670.432;3.624
19/06/2012 11:15:00;1670.702;3.240
19/06/2012 11:20:00;1670.958;3.072
19/06/2012 11:25:00;1671.259;3.612
19/06/2012 11:30:00;1671.478;2.628
19/06/2012 11:35:00;1671.619;1.692
19/06/2012 11:40:00;1671.910;3.492
19/06/2012 11:45:00;1672.184;3.288
19/06/2012 11:50:00;1672.400;2.592
19/06/2012 11:55:00;1672.608;2.496
19/06/2012 12:00:00;1672.830;2.664
19/06/2012 12:05:00;1672.939;1.308
19/06/2012 12:10:00;1673.129;2.280
19/06/2012 12:15:00;1673.210;0.972
19/06/2012 12:20:00;1673.406;2.352
19/06/2012 12:25:00;1673.467;0.732
19/06/2012 12:30:00;1673.626;1.908
19/06/2012 12:35:00;1673.903;3.324
19/06/2012 12:40:00;1674.126;2.676
19/06/2012 12:45:00;1674.340;2.568
19/06/2012 12:50:00;1674.408;0.816
19/06/2012 12:55:00;1674.674;3.192
19/06/2012 13:00:00;1674.920;2.952
19/06/2012 13:05:00;1675.177;3.084
19/06/2012 13:10:00;1675.429;3.024
19/06/2012 13:15:00;1675.673;2.928
19/06/2012 13:20:00;1675.912;2.868
19/06/2012 13:25:00;1676.149;2.844
19/06/2012 13:30:00;1676.383;2.808
19/06/2012 13:35:00;1676.619;2.832
19/06/2012 13:40:00;1676.858;2.868
19/06/2012 13:45:00;1676.977;1.428
19/06/2012 13:50:00;1677.220;2.916
19/06/2012 13:55:00;1677.450;2.760
19/06/2012 14:00:00;1677.678;2.736
19/06/2012 14:05:00;1677.902;2.688
19/06/2012 14:10:00;1678.131;2.748
19/06/2012 14:15:00;1678.300;2.028
19/06/2012 14:20:00;1678.396;1.152
19/06/2012 14:25:00;1678.578;2.184
19/06/2012 14:30:00;1678.791;2.556
19/06/2012 14:35:00;1678.963;2.064
19/06/2012 14:40:00;1679.110;1.764
19/06/2012 14:45:00;1679.230;1.440
19/06/2012 14:50:00;1679.332;1.224
19/06/2012 14:55:00;1679.388;0.672
19/06/2012 15:00:00;1679.471;0.996
19/06/2012 15:05:00;1679.574;1.236
19/06/2012 15:10:00;1679.690;1.392
19/06/2012 15:15:00;1679.807;1.404
19/06/2012 15:20:00;1679.913;1.272
19/06/2012 15:25:00;1679.999;1.032
19/06/2012 15:30:00;1680.079;0.960
19/06/2012 15:35:00;1680.182;1.236
19/06/2012 15:40:00;1680.284;1.224
19/06/2012 15:45:00;1680.372;1.056
19/06/2012 15:50:00;1680.457;1.020
19/06/2012 15:55:00;1680.542;1.020
19/06/2012 16:00:00;1680.627;1.020
19/06/2012 16:05:00;1680.694;0.804
19/06/2012 16:10:00;1680.794;1.200
19/06/2012 16:15:00;1680.874;0.960
19/06/2012 16:20:00;1680.967;1.116
19/06/2012 16:25:00;1681.057;1.080
19/06/2012 16:30:00;1681.142;1.020
19/06/2012 16:35:00;1681.214;0.864
19/06/2012 16:40:00;1681.281;0.804
19/06/2012 16:45:00;1681.351;0.840
19/06/2012 16:50:00;1681.422;0.852
19/06/2012 16:55:00;1681.484;0.744
19/06/2012 17:00:00;1681.528;0.528
19/06/2012 17:05:00;1681.566;0.456
19/06/2012 17:10:00;1681.612;0.552
19/06/2012 17:15:00;1681.661;0.588
19/06/2012 17:20:00;1681.707;0.552
19/06/2012 17:25:00;1681.747;0.480
19/06/2012 17:30:00;1681.790;0.516
19/06/2012 17:35:00;1681.833;0.516
19/06/2012 17:40:00;1681.869;0.432
19/06/2012 17:45:00;1681.906;0.444
19/06/2012 17:50:00;1681.944;0.456
19/06/2012 17:55:00;1681.986;0.504
19/06/2012 18:00:00;1682.032;0.552
19/06/2012 18:05:00;1682.083;0.612
19/06/2012 18:10:00;1682.131;0.576
19/06/2012 18:15:00;1682.175;0.528
19/06/2012 18:20:00;1682.212;0.444
19/06/2012 18:25:00;1682.241;0.348
19/06/2012 18:30:00;1682.267;0.312
19/06/2012 18:35:00;1682.289;0.264
19/06/2012 18:40:00;1682.308;0.228
19/06/2012 18:45:00;1682.325;0.204
19/06/2012 18:50:00;1682.341;0.192
19/06/2012 18:55:00;1682.356;0.180
19/06/2012 19:00:00;1682.370;0.168
19/06/2012 19:05:00;1682.386;0.192
19/06/2012 19:10:00;1682.404;0.216
19/06/2012 19:15:00;1682.421;0.204
19/06/2012 19:20:00;1682.440;0.228
19/06/2012 19:25:00;1682.460;0.240
19/06/2012 19:30:00;1682.476;0.192
19/06/2012 19:35:00;1682.491;0.180
19/06/2012 19:40:00;1682.503;0.144
19/06/2012 19:45:00;1682.516;0.156
19/06/2012 19:50:00;1682.530;0.168
19/06/2012 19:55:00;1682.544;0.168
